股票代號,個股名稱,投資比例(%),持有股數,Price
2330,台積電(2330.TW),8.18,"336,000",2380.00
2454,聯發科(2454.TW),6.19,"133,000",4560.00
2383,台光電(2383.TW),5.40,"99,000",5345.00
6223,旺矽(6223.TW),4.34,"76,000",5595.00
1303,南亞(1303.TW),3.89,"1,629,000",234.00
3017,奇鋐(3017.TW),3.55,"105,000",3310.00
2059,川湖(2059.TW),3.43,"28,000",11990.00
3443,創意(3443.TW),3.27,"50,000",6400.00
2408,南亞科(2408.TW),3.21,"665,000",473.00
6669,緯穎(6669.TW),3.11,"134,191",2270.00
3037,欣興(3037.TW),3.01,"304,000",970.00
5274,信驊(5274.TW),2.86,"15,600",17980.00
6274,台燿(6274.TW),2.75,"191,000",1410.00
2345,智邦(2345.TW),2.64,"138,000",1875.00
3189,景碩(3189.TW),2.23,"273,000",798.00
6515,穎崴(6515.TW),2.16,"32,000",6600.00
3665,貿聯-KY(3665.TW),2.08,"104,000",1955.00
2368,金像電(2368.TW),2.08,"200,000",1020.00
2344,華邦電(2344.TW),2.06,"1,260,000",160.00
8046,南電(8046.TW),1.95,"181,000",1055.00
4958,臻鼎-KY(4958.TW),1.93,"386,000",489.50
2308,台達電(2308.TW),1.89,"114,000",1620.00
3231,緯創(3231.TW),1.85,"1,003,000",181.00
2455,全新(2455.TW),1.79,"327,000",535.00
3008,大立光(3008.TW),1.78,"29,000",5995.00
FITXN*1,台指期貨 2026/10(FITXN*1.TF),1.71,19,
8996,高力(8996.TW),1.69,"134,000",1235.00
2303,聯電(2303.TW),1.67,"1,147,000",142.50
6805,富世達(6805.TW),1.57,"71,000",2165.00
3081,聯亞(3081.TW),1.46,"52,000",2745.00
3264,欣銓(3264.TW),1.31,"564,000",227.50
3653,健策(3653.TW),1.31,"22,000",5820.00
6139,亞翔(6139.TW),1.18,"165,000",703.00
2327,國巨*(2327.TW),0.92,"165,000",545.00
2337,旺宏(2337.TW),0.75,"637,000",116.00
6147,頎邦(6147.TW),0.71,"368,000",189.00
5289,宜鼎(5289.TW),0.70,"52,872",1290.00
8210,勤誠(8210.TW),0.68,"75,000",886.00
3036,文曄(3036.TW),0.61,"312,000",192.00
8358,金居(8358.TW),0.57,"108,000",518.00
6510,精測(6510.TW),0.55,"16,000",3375.00
3131,弘塑(3131.TW),0.52,"22,000",2310.00
3044,健鼎(3044.TW),0.47,"90,000",510.00
8299,群聯(8299.TW),0.47,"24,000",1935.00
6239,力成(6239.TW),0.46,"165,000",271.50
2347,聯強(2347.TW),0.41,"448,000",89.60
3702,大聯大(3702.TW),0.39,"359,000",107.00
6415,矽力*-KY(6415.TW),0.39,"93,000",414.00
2313,華通(2313.TW),0.37,"165,000",221.00
2449,京元電子(2449.TW),0.36,"134,000",261.50
3042,晶技(3042.TW),0.36,"196,000",178.00
2885,元大金(2885.TW),0.08,"105,360",70.80
