股票代號,個股名稱,投資比例(%),持有股數,Price
2330,台積電(2330.TW),9.76,"11,960,000",2390.00
2327,國巨*(2327.TW),9.64,"25,098,000",1125.00
2383,台光電(2383.TW),8.64,"4,486,000",5640.00
2454,聯發科(2454.TW),7.42,"5,037,000",4310.00
6223,旺矽(6223.TW),5.55,"2,352,000",6905.00
2303,聯電(2303.TW),5.28,"86,550,000",178.50
2345,智邦(2345.TW),5.15,"6,334,000",2380.00
3037,欣興(3037.TW),5.13,"14,735,000",1020.00
3017,奇鋐(3017.TW),4.44,"5,191,000",2505.00
2308,台達電(2308.TW),3.80,"5,614,000",1980.00
6669,緯穎(6669.TW),3.75,"2,417,000",4545.00
2368,金像電(2368.TW),3.52,"8,315,000",1240.00
8046,南電(8046.TW),3.18,"8,917,000",1045.00
3665,貿聯-KY(3665.TW),3.17,"4,833,848",1920.00
3711,日月光投控(3711.TW),3.10,"14,158,000",641.00
6274,台燿(6274.TW),2.94,"5,058,000",1700.00
3653,健策(3653.TW),2.62,"2,267,000",3390.00
5274,信驊(5274.TW),2.26,"379,000",17425.00
6510,精測(6510.TW),1.09,"930,000",3430.00
6805,富世達(6805.TW),1.08,"1,811,000",1750.00
8210,勤誠(8210.TW),0.99,"2,267,000",1285.00
6515,穎崴(6515.TW),0.97,"313,000",9100.00
2449,京元電子(2449.TW),0.74,"6,484,000",334.50
3533,嘉澤(3533.TW),0.65,"852,000",2225.00
2317,鴻海(2317.TW),0.64,"7,307,000",257.50
6147,頎邦(6147.TW),0.52,"6,275,000",240.50
6187,萬潤(6187.TW),0.50,"1,334,000",1105.00
5439,高技(5439.TW),0.39,"3,528,000",323.00
4966,譜瑞-KY(4966.TW),0.37,"1,642,000",658.00
6278,台表科(6278.TW),0.30,"4,334,000",205.00
6271,同欣電(6271.TW),0.28,"2,966,000",271.50
1590,亞德客-KY(1590.TW),0.25,"530,000",1390.00
8358,金居(8358.TW),0.21,"980,000",630.00
8996,高力(8996.TW),0.18,"354,000",1460.00
6191,精成科(6191.TW),0.14,"3,988,000",99.30
6488,環球晶(6488.TW),0.12,"350,000",1040.00
3264,欣銓(3264.TW),0.12,"1,508,000",228.00
3376,新日興(3376.TW),0.12,"1,741,000",200.50
2002,中鋼(2002.TW),0.03,"5,163,000",19.05
