股票代號,個股名稱,投資比例(%),持有股數,Price
2330,台積電(2330.TW),9.97,"11,960,000",2380.00
2383,台光電(2383.TW),7.64,"4,486,000",4860.00
2454,聯發科(2454.TW),6.76,"4,263,000",4525.00
2327,國巨*(2327.TW),5.43,"18,313,000",846.00
2308,台達電(2308.TW),5.43,"6,572,000",2360.00
2345,智邦(2345.TW),5.29,"6,231,000",2425.00
3017,奇鋐(3017.TW),4.91,"5,191,000",2700.00
6669,緯穎(6669.TW),4.67,"2,437,000",5475.00
3037,欣興(3037.TW),4.26,"12,466,000",975.00
6223,旺矽(6223.TW),4.19,"2,169,000",5515.00
3711,日月光投控(3711.TW),3.71,"17,948,000",590.00
3665,貿聯-KY(3665.TW),3.62,"4,703,848",2195.00
2303,聯電(2303.TW),3.55,"71,690,000",141.50
2368,金像電(2368.TW),3.47,"7,769,000",1275.00
8046,南電(8046.TW),3.27,"10,828,000",862.00
3653,健策(3653.TW),3.17,"2,267,000",3990.00
5274,信驊(5274.TW),2.67,"422,000",18095.00
6274,台燿(6274.TW),2.45,"4,400,000",1590.00
6805,富世達(6805.TW),1.35,"1,761,000",2190.00
6515,穎崴(6515.TW),1.25,"442,000",8080.00
6510,精測(6510.TW),1.05,"930,000",3215.00
8210,勤誠(8210.TW),1.04,"2,167,000",1375.00
3533,嘉澤(3533.TW),0.78,"852,000",2615.00
2317,鴻海(2317.TW),0.77,"7,307,000",301.50
2382,廣達(2382.TW),0.76,"5,441,000",400.50
2404,漢唐(2404.TW),0.69,"1,715,000",1150.00
6147,頎邦(6147.TW),0.57,"5,775,000",281.00
4966,譜瑞-KY(4966.TW),0.48,"1,642,000",827.00
6187,萬潤(6187.TW),0.47,"1,334,000",1010.00
5439,高技(5439.TW),0.46,"3,528,000",374.00
3008,大立光(3008.TW),0.44,"329,000",3850.00
8150,南茂(8150.TW),0.40,"11,635,000",98.60
2449,京元電子(2449.TW),0.39,"3,645,000",306.50
8996,高力(8996.TW),0.38,"1,034,000",1050.00
6278,台表科(6278.TW),0.28,"3,734,000",214.50
3443,創意(3443.TW),0.27,"167,000",4535.00
1590,亞德客-KY(1590.TW),0.24,"530,000",1280.00
8358,金居(8358.TW),0.22,"980,000",627.00
6191,精成科(6191.TW),0.14,"3,988,000",97.00
3376,新日興(3376.TW),0.13,"1,741,000",211.50
6271,同欣電(6271.TW),0.06,"686,000",249.50
2002,中鋼(2002.TW),0.03,"5,163,000",18.95
2313,華通(2313.TW),0.03,"329,000",270.50
1319,東陽(1319.TW),0.02,"511,000",92.10
1815,富喬(1815.TW),0.00,"107,000",109.50
2439,美律(2439.TW),0.00,"18,000",93.50
2357,華碩(2357.TW),0.00,"1,000",920.00
3264,欣銓(3264.TW),0.00,"1,000",214.50
2481,強茂(2481.TW),0.00,"5,000",146.00
5347,世界(5347.TW),0.00,"1,000",171.50
3661,世芯-KY(3661.TW),0.00,"1,000",4575.00
