股票代號,個股名稱,投資比例(%),持有股數,Price
2330,台積電(2330.TW),9.48,"12,134,000",2435.00
2383,台光電(2383.TW),8.88,"4,863,000",5690.00
2454,聯發科(2454.TW),7.39,"5,448,000",4225.00
3037,欣興(3037.TW),6.49,"20,210,000",1000.00
3017,奇鋐(3017.TW),6.06,"5,900,000",3200.00
2327,國巨*(2327.TW),5.40,"25,437,000",662.00
6223,旺矽(6223.TW),5.09,"2,443,000",6495.00
6669,緯穎(6669.TW),4.86,"2,496,000",6070.00
2345,智邦(2345.TW),4.80,"6,594,000",2270.00
2308,台達電(2308.TW),4.28,"7,070,000",1885.00
3711,日月光投控(3711.TW),3.92,"19,529,000",626.00
8046,南電(8046.TW),3.76,"9,634,000",1215.00
3653,健策(3653.TW),3.53,"2,375,000",4635.00
2303,聯電(2303.TW),3.50,"87,718,000",124.50
3665,貿聯-KY(3665.TW),3.27,"4,616,848",2205.00
6274,台燿(6274.TW),2.82,"5,499,000",1600.00
5274,信驊(5274.TW),2.72,"484,900",17490.00
台指期貨 2026/08,台指期貨 2026/08,2.01,N/A,
6805,富世達(6805.TW),1.33,"2,265,000",1830.00
2368,金像電(2368.TW),1.30,"4,000,000",1010.00
2449,京元電子(2449.TW),0.92,"11,295,450",253.50
8210,勤誠(8210.TW),0.79,"2,497,000",990.00
6187,萬潤(6187.TW),0.54,"1,334,000",1270.00
2360,致茂(2360.TW),0.46,"622,000",2300.00
4979,華星光(4979.TW),0.44,"2,424,000",564.00
3264,欣銓(3264.TW),0.44,"5,918,000",
6510,精測(6510.TW),0.43,"478,000",2820.00
8996,高力(8996.TW),0.33,"802,000",1285.00
4958,臻鼎-KY(4958.TW),0.26,"1,682,000",477.50
6278,台表科(6278.TW),0.18,"3,250,000",168.00
6271,同欣電(6271.TW),0.14,"2,224,000",
6191,精成科(6191.TW),0.11,"3,988,000",86.80
3376,新日興(3376.TW),0.11,"1,741,000",189.50
4966,譜瑞-KY(4966.TW),0.03,"140,000",586.00
2002,中鋼(2002.TW),0.03,"5,163,000",19.20
6515,穎崴(6515.TW),0.03,"13,000",
6488,環球晶(6488.TW),0.00,"1,000",1025.00
8150,南茂(8150.TW),0.00,"1,000",92.90
8358,金居(8358.TW),0.00,"1,000",
1590,亞德客-KY(1590.TW),0.00,"1,000",1470.00
2313,華通(2313.TW),0.00,"1,000",212.00
2317,鴻海(2317.TW),0.00,"1,000",262.00
2481,強茂(2481.TW),0.00,"5,000",143.00
3008,大立光(3008.TW),0.00,"1,000",4660.00
2382,廣達(2382.TW),0.00,"1,000",325.00
2408,南亞科(2408.TW),0.00,"1,000",514.00
2439,美律(2439.TW),0.00,"1,000",81.50
3661,世芯-KY(3661.TW),0.00,"1,000",4190.00
3443,創意(3443.TW),0.00,"1,000",5540.00
3533,嘉澤(3533.TW),0.00,"1,000",1810.00
5347,世界(5347.TW),0.00,"1,000",163.00
