股票代號,個股名稱,投資比例(%),持有股數,Price
2330,台積電(2330.TW),8.90,"90,000",2280.00
3017,奇鋐(3017.TW),8.36,"86,000",2240.00
2383,台光電(2383.TW),6.51,"34,000",4410.00
3037,欣興(3037.TW),6.30,"190,000",764.00
6223,旺矽(6223.TW),6.05,"27,000",5165.00
3665,貿聯-KY(3665.TW),4.81,"50,000",2215.00
3443,創意(3443.TW),4.76,"30,000",3660.00
2454,聯發科(2454.TW),4.60,"32,000",3315.00
2408,南亞科(2408.TW),4.09,"240,000",392.50
6274,台燿(6274.TW),3.68,"75,000",1130.00
8046,南電(8046.TW),3.22,"76,000",976.00
6139,亞翔(6139.TW),2.93,"96,000",704.00
2455,全新(2455.TW),2.69,"205,000",302.50
3653,健策(3653.TW),2.63,"18,000",3370.00
7769,鴻勁(7769.TW),2.50,"10,000",5750.00
2345,智邦(2345.TW),2.48,"28,000",2040.00
6683,雍智科技(6683.TW),2.35,"52,000",1040.00
6488,環球晶(6488.TW),2.29,"55,000",959.00
3363,上詮(3363.TW),2.17,"92,729",539.00
8028,昇陽半導體(8028.TW),2.14,"176,000",280.00
4764,雙鍵(4764.TW),2.09,"171,000",281.00
8358,金居(8358.TW),1.65,"114,000",334.00
6739,竹陞科技(6739.TW),0.82,"20,000",941.00
3081,聯亞(3081.TW),0.36,"4,800",1710.00
5274,信驊(5274.TW),0.17,300,13230.00
