股票代號,個股名稱,投資比例(%),持有股數,Price
6274,台燿(6274.TW),6.16,"150,000",1445.00
2330,台積電(2330.TW),5.91,"90,000",2310.00
3017,奇鋐(3017.TW),5.90,"86,000",2415.00
2383,台光電(2383.TW),5.78,"41,000",4960.00
2308,台達電(2308.TW),5.18,"80,000",2280.00
6187,萬潤(6187.TW),4.75,"148,000",1130.00
3037,欣興(3037.TW),4.66,"183,000",896.00
3443,創意(3443.TW),4.49,"29,000",5450.00
2360,致茂(2360.TW),3.96,"60,000",2325.00
6223,旺矽(6223.TW),3.86,"27,000",5030.00
3665,貿聯-KY(3665.TW),3.79,"48,000",2780.00
6683,雍智科技(6683.TW),3.52,"52,000",2385.00
8155,博智(8155.TW),3.34,"262,000",449.00
6805,富世達(6805.TW),3.16,"58,000",1920.00
8299,群聯(8299.TW),3.12,"46,000",2390.00
2345,智邦(2345.TW),3.05,"42,000",2560.00
8358,金居(8358.TW),2.68,"201,000",469.00
2368,金像電(2368.TW),2.43,"59,000",1450.00
6739,竹陞科技(6739.TW),2.33,"60,000",1370.00
3363,上詮(3363.TW),2.15,"92,729",815.00
3491,昇達科(3491.TW),2.12,"46,000",1620.00
3653,健策(3653.TW),1.98,"18,000",3875.00
8028,昇陽半導體(8028.TW),1.66,"255,000",229.00
6669,緯穎(6669.TW),1.39,"10,000",4880.00
2408,南亞科(2408.TW),1.31,"161,000",287.00
2455,全新(2455.TW),1.23,"127,000",342.00
6510,精測(6510.TW),0.95,"9,000",3730.00
