股票代號,個股名稱,投資比例(%),持有股數,Price
2330,台積電(2330.TW),9.50,"90,000",2205.00
3017,奇鋐(3017.TW),8.69,"86,000",2110.00
2383,台光電(2383.TW),7.02,"34,000",4315.00
3037,欣興(3037.TW),6.51,"190,000",716.00
6223,旺矽(6223.TW),6.20,"27,000",4800.00
3443,創意(3443.TW),5.63,"34,000",3460.00
2454,聯發科(2454.TW),4.96,"32,000",3235.00
3665,貿聯-KY(3665.TW),4.57,"50,000",1910.00
2408,南亞科(2408.TW),3.77,"240,000",328.00
8046,南電(8046.TW),3.65,"91,000",837.00
6274,台燿(6274.TW),3.63,"75,000",1010.00
6139,亞翔(6139.TW),2.95,"96,000",643.00
3653,健策(3653.TW),2.70,"18,000",3135.00
7769,鴻勁(7769.TW),2.69,"10,000",5620.00
2455,全新(2455.TW),2.61,"205,000",265.50
2345,智邦(2345.TW),2.59,"28,000",1935.00
6683,雍智科技(6683.TW),2.10,"52,000",843.00
3363,上詮(3363.TW),1.94,"92,729",437.00
4764,雙鍵(4764.TW),1.94,"171,000",236.50
8028,昇陽半導體(8028.TW),1.92,"176,000",227.50
8358,金居(8358.TW),1.48,"114,000",271.00
6739,竹陞科技(6739.TW),0.74,"20,000",768.00
3081,聯亞(3081.TW),0.34,"4,800",1485.00
5274,信驊(5274.TW),0.19,300,13205.00
