股票代號,個股名稱,投資比例(%),持有股數,Price
2330,台積電(2330.TW),8.15,"90,000",2410.00
3037,欣興(3037.TW),7.36,"166,000",1180.00
3017,奇鋐(3017.TW),7.28,"58,000",3340.00
2383,台光電(2383.TW),6.00,"29,000",5500.00
6223,旺矽(6223.TW),5.17,"27,000",5090.00
3081,聯亞(3081.TW),4.79,"37,800",3370.00
2454,聯發科(2454.TW),4.65,"32,000",3865.00
3443,創意(3443.TW),4.45,"20,000",5920.00
8046,南電(8046.TW),4.43,"91,000",1295.00
6805,富世達(6805.TW),4.35,"52,000",2225.00
6274,台燿(6274.TW),4.07,"75,000",1445.00
3665,貿聯-KY(3665.TW),3.86,"50,000",2055.00
3653,健策(3653.TW),3.82,"18,000",5645.00
2408,南亞科(2408.TW),3.40,"167,000",541.00
2455,全新(2455.TW),3.34,"205,000",433.00
7769,鴻勁(7769.TW),2.86,"12,000",6345.00
6187,萬潤(6187.TW),2.53,"47,000",1430.00
3363,上詮(3363.TW),2.45,"92,729",704.00
6683,雍智科技(6683.TW),2.43,"52,000",1245.00
2345,智邦(2345.TW),2.20,"28,000",2090.00
8358,金居(8358.TW),2.12,"114,000",494.00
6739,竹陞科技(6739.TW),2.06,"50,000",1095.00
2308,台達電(2308.TW),1.86,"28,000",1770.00
6515,穎崴(6515.TW),1.84,"8,000",6105.00
8996,高力(8996.TW),1.72,"35,000",1310.00
5274,信驊(5274.TW),0.17,300,15305.00
