股票代號,個股名稱,投資比例(%),持有股數,Price
2330,台積電(2330.TW),8.57,"90,000",2350.00
3017,奇鋐(3017.TW),8.30,"86,000",2400.00
2383,台光電(2383.TW),6.55,"34,000",4815.00
3037,欣興(3037.TW),6.46,"190,000",848.00
6223,旺矽(6223.TW),6.24,"27,000",5720.00
3443,創意(3443.TW),4.95,"30,000",4050.00
2454,聯發科(2454.TW),4.86,"32,000",3680.00
3665,貿聯-KY(3665.TW),4.47,"50,000",2150.00
2408,南亞科(2408.TW),3.90,"240,000",436.00
6274,台燿(6274.TW),3.80,"75,000",1255.00
8046,南電(8046.TW),3.42,"76,000",1075.00
6139,亞翔(6139.TW),3.27,"96,000",762.00
2455,全新(2455.TW),2.77,"205,000",326.50
2345,智邦(2345.TW),2.52,"28,000",2240.00
6683,雍智科技(6683.TW),2.51,"52,000",1155.00
3653,健策(3653.TW),2.50,"18,000",3525.00
7769,鴻勁(7769.TW),2.45,"10,000",
6488,環球晶(6488.TW),2.30,"55,000",1065.00
3363,上詮(3363.TW),2.19,"92,729",598.00
8028,昇陽半導體(8028.TW),2.14,"176,000",311.00
4764,雙鍵(4764.TW),1.94,"171,000",294.50
8358,金居(8358.TW),1.70,"114,000",371.00
6271,同欣電(6271.TW),1.63,"213,000",183.50
6739,竹陞科技(6739.TW),0.87,"20,000",1045.00
3081,聯亞(3081.TW),0.34,"4,800",1805.00
5274,信驊(5274.TW),0.18,300,14695.00
