股票代號,個股名稱,投資比例(%),持有股數,Price
2330,台積電(2330.TW),8.28,"90,000",2385.00
3017,奇鋐(3017.TW),7.41,"58,000",3310.00
3037,欣興(3037.TW),6.23,"166,000",973.00
2383,台光電(2383.TW),6.09,"29,000",5445.00
6223,旺矽(6223.TW),5.51,"27,000",5290.00
2454,聯發科(2454.TW),5.28,"32,000",4275.00
3443,創意(3443.TW),4.55,"20,000",5895.00
3665,貿聯-KY(3665.TW),4.35,"52,000",2170.00
2455,全新(2455.TW),4.29,"205,000",542.00
6274,台燿(6274.TW),4.08,"75,000",1410.00
3653,健策(3653.TW),4.01,"18,000",5770.00
3081,聯亞(3081.TW),3.90,"29,800",3395.00
2408,南亞科(2408.TW),3.34,"167,000",518.00
8046,南電(8046.TW),2.96,"64,000",1200.00
6805,富世達(6805.TW),2.93,"36,000",2110.00
6683,雍智科技(6683.TW),2.93,"52,000",1460.00
3363,上詮(3363.TW),2.79,"92,729",780.00
8358,金居(8358.TW),2.60,"134,000",503.00
6187,萬潤(6187.TW),2.43,"47,000",1340.00
2345,智邦(2345.TW),2.31,"28,000",2140.00
6515,穎崴(6515.TW),2.18,"8,000",7050.00
6739,竹陞科技(6739.TW),2.16,"50,000",1120.00
3661,世芯-KY(3661.TW),2.11,"13,000",4200.00
2308,台達電(2308.TW),1.87,"28,000",1730.00
8996,高力(8996.TW),1.71,"35,000",1265.00
6510,精測(6510.TW),1.06,"8,000",3435.00
5274,信驊(5274.TW),0.21,300,17725.00
