股票代號,個股名稱,投資比例(%),持有股數,Price
2330,台積電(2330.TW),13.92,"5,200,000",2395.00
2383,台光電(2383.TW),8.85,"1,430,000",5535.00
2408,南亞科(2408.TW),7.65,"14,000,000",489.00
2059,川湖(2059.TW),6.88,"500,000",12315.00
3037,欣興(3037.TW),5.54,"5,000,000",992.00
2327,國巨*(2327.TW),5.31,"7,700,000",617.00
2454,聯發科(2454.TW),5.17,"1,150,000",4020.00
6223,旺矽(6223.TW),5.08,"720,000",6315.00
2345,智邦(2345.TW),4.30,"1,800,000",2135.00
6274,台燿(6274.TW),4.13,"2,300,000",1605.00
8046,南電(8046.TW),3.86,"3,000,000",1150.00
6669,緯穎(6669.TW),3.78,"570,000",5930.00
3017,奇鋐(3017.TW),3.70,"1,200,000",2760.00
3189,景碩(3189.TW),3.39,"3,600,000",842.00
3711,日月光投控(3711.TW),3.23,"4,600,000",629.00
8299,群聯(8299.TW),3.04,"1,300,000",2090.00
7769,鴻勁(7769.TW),2.84,"400,000",6350.00
5274,信驊(5274.TW),2.21,"120,500",16440.00
3026,禾伸堂(3026.TW),1.95,"2,700,000",646.00
3231,緯創(3231.TW),1.92,"9,000,000",191.00
3665,貿聯-KY(3665.TW),1.11,"450,000",2200.00
3653,健策(3653.TW),1.05,"230,000",4065.00
2885,元大金(2885.TW),0.03,"381,000",68.40
