股票代號,個股名稱,投資比例(%),持有股數,Price
2330,台積電(2330.TW),9.33,"770,000",2265.00
2383,台光電(2383.TW),6.40,"253,000",4730.00
2308,台達電(2308.TW),6.17,"571,000",2020.00
3017,奇鋐(3017.TW),4.94,"326,000",2835.00
2368,金像電(2368.TW),4.76,"627,000",1420.00
2454,聯發科(2454.TW),4.13,"317,000",2435.00
2360,致茂(2360.TW),3.80,"369,000",1925.00
3037,欣興(3037.TW),3.18,"708,000",839.00
5274,信驊(5274.TW),3.17,"37,000",16000.00
3665,貿聯-KY(3665.TW),3.01,"214,000",2630.00
3653,健策(3653.TW),2.95,"111,000",4960.00
2059,川湖(2059.TW),2.90,"137,000",3960.00
2345,智邦(2345.TW),2.84,"244,000",2175.00
3044,健鼎(3044.TW),2.68,"1,034,000",485.00
2382,廣達(2382.TW),2.25,"1,291,000",325.50
6223,旺矽(6223.TW),1.80,"69,000",4880.00
1590,亞德客-KY(1590.TW),1.46,"193,000",1410.00
6187,萬潤(6187.TW),1.37,"237,000",1080.00
2404,漢唐(2404.TW),1.17,"226,000",969.00
2449,京元電子(2449.TW),1.15,"755,000",283.50
6488,環球晶(6488.TW),1.15,"348,000",620.00
1519,華城(1519.TW),1.12,"235,000",888.00
2303,聯電(2303.TW),1.10,"2,825,000",72.70
2885,元大金(2885.TW),1.09,"4,012,000",50.80
3036,文曄(3036.TW),1.07,"997,000",201.00
2891,中信金(2891.TW),1.00,"3,533,000",52.70
2344,華邦電(2344.TW),1.00,"1,990,000",93.90
6669,緯穎(6669.TW),0.97,"37,000",4890.00
6271,同欣電(6271.TW),0.96,"1,028,000",174.00
2357,華碩(2357.TW),0.95,"301,000",588.00
2327,國巨*(2327.TW),0.95,"584,000",305.00
6805,富世達(6805.TW),0.93,"84,000",2070.00
2376,技嘉(2376.TW),0.91,"597,000",285.00
1303,南亞(1303.TW),0.86,"1,840,000",87.80
8210,勤誠(8210.TW),0.86,"138,000",1165.00
臻鼎-KY,臻鼎-KY,0.77,"400,000",
3211,順達(3211.TW),0.75,"362,000",385.50
2313,華通(2313.TW),0.69,"544,000",235.50
3443,創意(3443.TW),0.66,"31,000",3955.00
3131,弘塑(3131.TW),0.65,"42,000",2875.00
6274,台燿(6274.TW),0.59,"112,000",990.00
新  代,新  代,0.58,"50,000",
3081,聯亞(3081.TW),0.57,"42,000",2540.00
3163,波若威(3163.TW),0.55,"98,000",1040.00
6285,啟碁(6285.TW),0.54,"481,000",211.50
3293,鈊象(3293.TW),0.53,"133,000",748.00
5434,崇越(5434.TW),0.44,"200,000",407.00
2881,富邦金(2881.TW),0.38,"817,000",87.90
1717,長興(1717.TW),0.37,"907,000",75.30
3374,精材(3374.TW),0.32,"271,000",218.00
6715,嘉基(6715.TW),0.29,"140,000",381.00
8464,億豐(8464.TW),0.22,"117,000",350.50
6683,雍智科技(6683.TW),0.22,"24,000",1710.00
2385,群光(2385.TW),0.22,"338,000",122.50
6121,新普(6121.TW),0.15,"76,000",367.50
