股票代號,個股名稱,投資比例(%),持有股數,Price
2454,聯發科(2454.TW),9.39,"517,000",3860.00
2330,台積電(2330.TW),8.17,"770,000",2255.00
2383,台光電(2383.TW),7.82,"332,000",5005.00
2308,台達電(2308.TW),5.63,"571,000",2095.00
3037,欣興(3037.TW),5.19,"1,138,000",970.00
2360,致茂(2360.TW),4.41,"413,000",2270.00
6669,緯穎(6669.TW),3.64,"140,000",5525.00
2059,川湖(2059.TW),3.28,"137,000",5090.00
2345,智邦(2345.TW),3.02,"260,000",2470.00
5274,信驊(5274.TW),2.84,"34,000",17780.00
3017,奇鋐(3017.TW),2.65,"221,000",2545.00
3044,健鼎(3044.TW),2.39,"1,034,000",490.50
2368,金像電(2368.TW),2.39,"382,000",1330.00
3036,文曄(3036.TW),2.03,"1,497,000",289.00
6223,旺矽(6223.TW),1.96,"69,000",6035.00
2327,國巨*(2327.TW),1.95,"660,000",629.00
4958,臻鼎-KY(4958.TW),1.92,"792,000",516.00
2408,南亞科(2408.TW),1.78,"1,218,000",310.50
8210,勤誠(8210.TW),1.58,"250,000",1345.00
2357,華碩(2357.TW),1.54,"481,000",682.00
6285,啟碁(6285.TW),1.43,"1,030,000",296.00
2376,技嘉(2376.TW),1.39,"919,000",322.50
3081,聯亞(3081.TW),1.34,"105,000",2710.00
1590,亞德客-KY(1590.TW),1.28,"193,000",1410.00
6147,頎邦(6147.TW),1.25,"1,234,000",215.50
6488,環球晶(6488.TW),1.17,"348,000",717.00
3665,貿聯-KY(3665.TW),1.12,"107,000",2225.00
2885,元大金(2885.TW),1.04,"4,012,000",55.10
2382,廣達(2382.TW),0.99,"664,000",316.00
2891,中信金(2891.TW),0.96,"3,533,000",57.60
1519,華城(1519.TW),0.91,"235,000",826.00
6187,萬潤(6187.TW),0.82,"152,000",1140.00
3702,大聯大(3702.TW),0.79,"1,416,000",118.00
1303,南亞(1303.TW),0.75,"1,840,000",86.70
8069,元太(8069.TW),0.74,"705,000",224.00
2313,華通(2313.TW),0.71,"544,000",278.00
2404,漢唐(2404.TW),0.68,"126,000",1155.00
3131,弘塑(3131.TW),0.56,"42,000",2820.00
6278,台表科(6278.TW),0.55,"476,000",245.00
4749,新應材(4749.TW),0.50,"90,000",1170.00
3293,鈊象(3293.TW),0.47,"133,000",748.00
5434,崇越(5434.TW),0.42,"200,000",449.50
2881,富邦金(2881.TW),0.37,"817,000",95.10
1717,長興(1717.TW),0.35,"907,000",83.00
6121,新普(6121.TW),0.32,"178,000",380.00
3374,精材(3374.TW),0.32,"271,000",253.00
6715,嘉基(6715.TW),0.30,"140,000",461.50
2385,群光(2385.TW),0.21,"338,000",131.50
