股票代號,個股名稱,投資比例(%),持有股數,Price
2330,台積電(2330.TW),8.28,"1,937,000",2380.00
2454,聯發科(2454.TW),7.21,"873,000",4525.00
5536,聖暉*(5536.TW),6.94,"3,804,000",998.00
6139,亞翔(6139.TW),3.97,"2,813,000",762.00
2360,致茂(2360.TW),3.91,"835,000",2420.00
3105,穩懋(3105.TW),3.88,"4,039,000",519.00
3491,昇達科(3491.TW),3.85,"980,000",2070.00
2345,智邦(2345.TW),3.72,"816,000",2425.00
3264,欣銓(3264.TW),3.71,"9,176,000",214.50
6223,旺矽(6223.TW),3.22,"312,000",5515.00
4958,臻鼎-KY(4958.TW),3.17,"3,192,000",520.00
6147,頎邦(6147.TW),3.10,"5,987,000",281.00
2383,台光電(2383.TW),3.08,"335,000",4860.00
6669,緯穎(6669.TW),3.00,"300,000",5475.00
2303,聯電(2303.TW),2.42,"9,119,000",141.50
6285,啟碁(6285.TW),2.33,"4,083,000",306.00
3017,奇鋐(3017.TW),2.08,"412,000",2700.00
2472,立隆電(2472.TW),2.01,"2,820,000",380.00
6488,環球晶(6488.TW),2.00,"1,159,000",940.00
6257,矽格(6257.TW),1.89,"4,756,000",215.00
3583,辛耘(3583.TW),1.79,"1,138,000",845.00
2059,川湖(2059.TW),1.76,"186,000",5075.00
2467,志聖(2467.TW),1.72,"1,484,000",588.00
1785,光洋科(1785.TW),1.60,"5,607,000",144.00
2377,微星(2377.TW),1.47,"5,736,000",149.00
3008,大立光(3008.TW),1.42,"204,000",3850.00
6274,台燿(6274.TW),1.38,"446,000",1590.00
7769,鴻勁(7769.TW),1.28,"94,000",7175.00
8016,矽創(8016.TW),1.26,"2,240,000",302.00
3036,文曄(3036.TW),1.22,"2,344,000",290.50
2327,國巨*(2327.TW),1.19,"833,000",846.00
3702,大聯大(3702.TW),1.18,"5,498,000",119.00
6531,愛普*(6531.TW),1.14,"558,000",1075.00
3711,日月光投控(3711.TW),1.11,"1,022,000",590.00
2316,楠梓電(2316.TW),1.03,"3,422,000",161.00
2368,金像電(2368.TW),0.96,"398,000",1275.00
6278,台表科(6278.TW),0.89,"2,235,000",214.50
2404,漢唐(2404.TW),0.81,"379,000",1150.00
8996,高力(8996.TW),0.72,"382,000",1050.00
2451,創見(2451.TW),0.68,"1,050,000",363.50
2351,順德(2351.TW),0.50,"1,369,000",200.00
2376,技嘉(2376.TW),0.38,"538,000",390.50
5274,信驊(5274.TW),0.30,"9,000",18095.00
3376,新日興(3376.TW),0.14,"364,000",211.50
2885,元大金(2885.TW),0.12,"1,128,420",59.60
6177,達麗(6177.TW),0.03,"396,350",43.00
3443,創意(3443.TW),0.01,"1,000",4535.00
2886,兆豐金(2886.TW),0.00,"1,000",41.70
4441,振大環球(4441.TW),0.00,"4,000",209.00
3706,神達(3706.TW),0.00,"1,400",95.20
3665,貿聯-KY(3665.TW),0.00,136,2195.00
2548,華固(2548.TW),0.00,"2,000",104.50
2881,富邦金(2881.TW),0.00,250,113.50
1519,華城(1519.TW),0.00,600,850.00
8046,南電(8046.TW),0.00,"2,000",862.00
8358,金居(8358.TW),0.00,"1,000",627.00
6805,富世達(6805.TW),0.00,"1,000",2190.00
