股票代號,個股名稱,投資比例(%),持有股數,Price
2330,台積電(2330.TW),8.01,"1,937,000",2300.00
5536,聖暉*(5536.TW),7.59,"3,804,000",1110.00
2454,聯發科(2454.TW),7.29,"873,000",4640.00
6139,亞翔(6139.TW),4.10,"2,813,000",811.00
3105,穩懋(3105.TW),4.07,"4,039,000",560.00
2360,致茂(2360.TW),3.94,"835,000",2625.00
2345,智邦(2345.TW),3.85,"816,000",2620.00
3264,欣銓(3264.TW),3.79,"9,176,000",229.50
3491,昇達科(3491.TW),3.67,"980,000",2080.00
6223,旺矽(6223.TW),3.59,"312,000",6390.00
2383,台光電(2383.TW),3.20,"335,000",5305.00
4958,臻鼎-KY(4958.TW),3.05,"3,192,000",532.00
6147,頎邦(6147.TW),2.85,"5,987,000",265.00
6669,緯穎(6669.TW),2.74,"300,000",5075.00
2303,聯電(2303.TW),2.35,"9,119,000",143.50
6285,啟碁(6285.TW),2.29,"4,083,000",311.50
6257,矽格(6257.TW),2.00,"4,756,000",233.50
3017,奇鋐(3017.TW),2.00,"412,000",2700.00
6488,環球晶(6488.TW),1.94,"1,159,000",930.00
3583,辛耘(3583.TW),1.79,"1,138,000",876.00
2467,志聖(2467.TW),1.75,"1,484,000",657.00
2472,立隆電(2472.TW),1.71,"2,820,000",337.50
2059,川湖(2059.TW),1.65,"186,000",4920.00
1785,光洋科(1785.TW),1.44,"5,607,000",143.00
7769,鴻勁(7769.TW),1.32,"94,000",7800.00
6274,台燿(6274.TW),1.31,"446,000",1630.00
2377,微星(2377.TW),1.31,"5,736,000",126.50
3008,大立光(3008.TW),1.29,"204,000",3505.00
3036,文曄(3036.TW),1.25,"2,344,000",296.00
8016,矽創(8016.TW),1.21,"2,240,000",301.00
3702,大聯大(3702.TW),1.19,"5,498,000",120.50
3711,日月光投控(3711.TW),1.18,"1,022,000",642.00
2327,國巨*(2327.TW),1.05,"833,000",701.00
2316,楠梓電(2316.TW),1.03,"3,422,000",168.00
2368,金像電(2368.TW),0.98,"398,000",1375.00
6278,台表科(6278.TW),0.95,"2,235,000",235.50
2404,漢唐(2404.TW),0.84,"379,000",1235.00
8996,高力(8996.TW),0.83,"382,000",1215.00
6531,愛普*(6531.TW),0.59,"303,000",1080.00
2351,順德(2351.TW),0.56,"1,369,000",229.00
6510,精測(6510.TW),0.36,"62,000",3195.00
6831,邁科(6831.TW),0.33,"226,000",820.00
2376,技嘉(2376.TW),0.32,"538,000",332.50
2451,創見(2451.TW),0.30,"525,000",321.00
5274,信驊(5274.TW),0.30,"9,000",18230.00
3376,新日興(3376.TW),0.14,"364,000",212.00
2885,元大金(2885.TW),0.12,"1,128,420",59.50
6177,達麗(6177.TW),0.06,"800,350",42.55
3443,創意(3443.TW),0.01,"1,000",5100.00
2886,兆豐金(2886.TW),0.00,"1,000",39.45
4441,振大環球(4441.TW),0.00,"4,000",206.00
3706,神達(3706.TW),0.00,"1,400",84.20
3665,貿聯-KY(3665.TW),0.00,136,2115.00
2548,華固(2548.TW),0.00,"2,000",121.50
2881,富邦金(2881.TW),0.00,250,110.00
1519,華城(1519.TW),0.00,600,878.00
6805,富世達(6805.TW),0.00,"1,000",1740.00
8046,南電(8046.TW),0.00,"2,000",905.00
8358,金居(8358.TW),0.00,"1,000",560.00
