股票代號,個股名稱,投資比例(%),持有股數,Price
2330,台積電(2330.TW),8.49,"1,794,000",2410.00
6669,緯穎(6669.TW),6.83,"510,000",6815.00
2454,聯發科(2454.TW),6.62,"872,000",3865.00
6139,亞翔(6139.TW),5.88,"3,820,000",784.00
2059,川湖(2059.TW),5.21,"185,000",14340.00
3105,穩懋(3105.TW),4.21,"4,809,000",445.50
3008,大立光(3008.TW),3.48,"256,000",6915.00
2383,台光電(2383.TW),3.45,"319,000",5500.00
3491,昇達科(3491.TW),3.30,"1,180,000",1425.00
2360,致茂(2360.TW),3.29,"842,000",1990.00
6223,旺矽(6223.TW),3.07,"307,000",5090.00
2345,智邦(2345.TW),2.98,"727,000",2090.00
4958,臻鼎-KY(4958.TW),2.98,"3,178,000",477.00
6531,愛普*(6531.TW),2.97,"1,650,000",917.00
3017,奇鋐(3017.TW),2.48,"378,000",3340.00
6488,環球晶(6488.TW),2.10,"1,114,000",958.00
2395,研華(2395.TW),1.96,"1,478,000",675.00
2301,光寶科(2301.TW),1.94,"3,284,000",301.00
3583,辛耘(3583.TW),1.73,"1,158,000",760.00
2455,全新(2455.TW),1.33,"1,569,000",433.00
5483,中美晶(5483.TW),1.26,"3,524,000",182.00
6214,精誠(6214.TW),1.25,"3,494,000",182.50
2377,微星(2377.TW),1.25,"4,375,000",145.00
2303,聯電(2303.TW),1.23,"5,270,000",118.50
6274,台燿(6274.TW),1.23,"433,000",1445.00
2376,技嘉(2376.TW),1.22,"1,796,000",345.00
3231,緯創(3231.TW),1.21,"3,424,000",179.50
3265,台星科(3265.TW),1.20,"3,464,000",176.50
2428,興勤(2428.TW),1.17,"2,350,000",253.00
2467,志聖(2467.TW),1.15,"1,000,000",585.00
3711,日月光投控(3711.TW),1.14,"956,000",605.00
3090,日電貿(3090.TW),1.12,"3,388,000",168.50
2478,大毅(2478.TW),1.10,"4,475,000",125.00
5425,台半(5425.TW),1.09,"5,824,000",95.20
5274,信驊(5274.TW),1.08,"35,900",15305.00
6239,力成(6239.TW),1.04,"1,910,000",277.00
8996,高力(8996.TW),0.98,"382,000",1310.00
6472,保瑞(6472.TW),0.89,"1,032,000",439.50
2486,一詮(2486.TW),0.82,"1,607,000",259.00
5536,聖暉*(5536.TW),0.77,"459,000",854.00
3529,力旺(3529.TW),0.48,"93,000",2650.00
2476,鉅祥(2476.TW),0.32,"1,301,000",126.50
6196,帆宣(6196.TW),0.30,"309,000",497.50
6672,騰輝電子-KY(6672.TW),0.30,"544,000",281.50
3617,碩天(3617.TW),0.29,"599,000",248.50
8070,長華*(8070.TW),0.28,"2,862,000",50.70
2885,元大金(2885.TW),0.27,"2,213,556",63.20
6446,藥華藥(6446.TW),0.13,"42,000",1560.00
6177,達麗(6177.TW),0.02,"194,350",47.90
3443,創意(3443.TW),0.01,"1,000",5920.00
2886,兆豐金(2886.TW),0.00,"1,000",46.15
3706,神達(3706.TW),0.00,"1,400",91.40
4441,振大環球(4441.TW),0.00,"4,000",178.50
2881,富邦金(2881.TW),0.00,250,141.50
1519,華城(1519.TW),0.00,660,770.00
8046,南電(8046.TW),0.00,"1,000",1295.00
8358,金居(8358.TW),0.00,"1,000",494.00
