股票代號,個股名稱,投資比例(%),持有股數,Price
2330,台積電(2330.TW),19.41,"12,800,000",2440.00
2303,聯電(2303.TW),7.15,"75,000,000",153.50
3017,奇鋐(3017.TW),4.77,"3,450,000",2225.00
2344,華邦電(2344.TW),4.15,"40,000,000",167.00
6223,旺矽(6223.TW),4.13,"1,000,000",6640.00
3037,欣興(3037.TW),3.96,"7,064,000",903.00
2327,國巨*(2327.TW),3.96,"7,800,000",816.00
2454,聯發科(2454.TW),3.80,"1,600,000",3825.00
2383,台光電(2383.TW),3.63,"1,140,000",5125.00
2345,智邦(2345.TW),3.14,"2,100,000",2405.00
2308,台達電(2308.TW),2.85,"2,430,000",1890.00
4958,臻鼎-KY(4958.TW),2.79,"6,940,000",646.00
3711,日月光投控(3711.TW),2.46,"5,900,000",670.00
6669,緯穎(6669.TW),2.43,"790,000",4960.00
6488,環球晶(6488.TW),1.99,"2,152,000",1485.00
2368,金像電(2368.TW),1.79,"2,750,000",1045.00
3189,景碩(3189.TW),1.64,"3,217,000",819.00
6274,台燿(6274.TW),1.64,"1,700,000",1550.00
3653,健策(3653.TW),1.55,"780,000",3195.00
3533,嘉澤(3533.TW),1.53,"1,240,000",1980.00
3443,創意(3443.TW),1.27,"480,000",4270.00
8996,高力(8996.TW),1.23,"1,600,000",1240.00
7769,鴻勁(7769.TW),1.16,"279,000",6705.00
8046,南電(8046.TW),1.14,"1,440,000",1270.00
1303,南亞(1303.TW),1.05,"8,500,000",199.50
6515,穎崴(6515.TW),0.92,"200,000",7375.00
2337,旺宏(2337.TW),0.86,"10,000,000",138.00
8358,金居(8358.TW),0.54,"1,750,000",498.00
2360,致茂(2360.TW),0.52,"450,000",1850.00
3211,順達(3211.TW),0.51,"1,800,000",457.50
6805,富世達(6805.TW),0.50,"570,000",1410.00
2317,鴻海(2317.TW),0.47,"3,200,000",236.50
3583,辛耘(3583.TW),0.44,"900,000",794.00
1560,中砂(1560.TW),0.43,"1,000,000",700.00
5274,信驊(5274.TW),0.42,"49,500",13520.00
4966,譜瑞-KY(4966.TW),0.32,"800,000",647.00
6415,矽力*-KY(6415.TW),0.29,"900,000",524.00
6442,光聖(6442.TW),0.26,"300,000",1375.00
2049,上銀(2049.TW),0.21,"1,010,000",332.00
3665,貿聯-KY(3665.TW),0.19,"166,000",1865.00
6239,力成(6239.TW),0.17,"900,000",312.50
2455,全新(2455.TW),0.09,"450,000",329.00
3264,欣銓(3264.TW),0.08,"600,000",225.00
