股票代號,個股名稱,投資比例(%),持有股數,Price
2330,台積電(2330.TW),16.85,"12,680,000",2320.00
2303,聯電(2303.TW),5.28,"77,800,000",118.50
3017,奇鋐(3017.TW),5.14,"3,450,000",2600.00
2383,台光電(2383.TW),4.40,"1,495,000",5140.00
3037,欣興(3037.TW),4.27,"8,060,000",924.00
2454,聯發科(2454.TW),4.23,"1,910,000",3865.00
2344,華邦電(2344.TW),3.70,"41,155,000",157.00
6223,旺矽(6223.TW),3.55,"1,050,000",5900.00
2345,智邦(2345.TW),3.07,"2,307,000",2320.00
2308,台達電(2308.TW),2.82,"3,040,000",1620.00
3653,健策(3653.TW),2.45,"1,030,000",4145.00
3711,日月光投控(3711.TW),2.40,"7,160,000",585.00
2327,國巨*(2327.TW),2.27,"7,000,000",566.00
6669,緯穎(6669.TW),2.13,"600,000",6205.00
4958,臻鼎-KY(4958.TW),1.56,"6,154,000",444.00
3665,貿聯-KY(3665.TW),1.45,"1,101,000",2300.00
6488,環球晶(6488.TW),1.44,"2,646,000",952.00
3533,嘉澤(3533.TW),1.43,"1,240,000",2010.00
3189,景碩(3189.TW),1.42,"3,226,000",767.00
5274,信驊(5274.TW),1.41,"158,500",15500.00
6274,台燿(6274.TW),1.29,"1,680,000",1340.00
3443,創意(3443.TW),1.21,"510,000",4145.00
7769,鴻勁(7769.TW),1.06,"300,000",6190.00
8046,南電(8046.TW),1.05,"1,750,000",1045.00
2360,致茂(2360.TW),0.99,"897,000",1925.00
8996,高力(8996.TW),0.94,"1,600,000",1030.00
6239,力成(6239.TW),0.65,"4,400,000",256.50
6805,富世達(6805.TW),0.64,"700,000",1590.00
1560,中砂(1560.TW),0.58,"1,500,000",675.00
2337,旺宏(2337.TW),0.52,"7,498,000",120.00
2317,鴻海(2317.TW),0.46,"3,200,000",250.00
1303,南亞(1303.TW),0.45,"4,587,000",170.50
3008,大立光(3008.TW),0.43,"172,000",4355.00
3211,順達(3211.TW),0.37,"2,000,000",325.00
3583,辛耘(3583.TW),0.36,"900,000",699.00
4966,譜瑞-KY(4966.TW),0.27,"800,000",584.00
8358,金居(8358.TW),0.26,"1,312,000",341.00
2049,上銀(2049.TW),0.19,"1,010,000",332.00
6442,光聖(6442.TW),0.18,"225,000",1395.00
2404,漢唐(2404.TW),0.16,"250,000",1110.00
3450,聯鈞(3450.TW),0.16,"650,000",432.00
6415,矽力*-KY(6415.TW),0.15,"624,000",424.00
3264,欣銓(3264.TW),0.08,"700,000",193.50
2481,強茂(2481.TW),0.08,"1,100,000",130.00
2455,全新(2455.TW),0.07,"336,000",353.00
6285,啟碁(6285.TW),0.05,"350,000",252.50
1717,長興(1717.TW),0.03,"700,000",63.60
5347,世界(5347.TW),0.00,"1,000",154.50
6196,帆宣(6196.TW),0.00,"1,000",492.00
8299,群聯(8299.TW),0.00,"1,000",1820.00
