股票代號,個股名稱,投資比例(%),持有股數,Price
2330,台積電(2330.TW),17.45,"12,680,000",2370.00
2303,聯電(2303.TW),5.33,"77,800,000",118.00
3017,奇鋐(3017.TW),5.11,"3,450,000",2550.00
2383,台光電(2383.TW),4.32,"1,495,000",4980.00
2454,聯發科(2454.TW),4.08,"1,795,000",3910.00
3037,欣興(3037.TW),3.82,"7,600,000",865.00
6223,旺矽(6223.TW),3.37,"1,000,000",5805.00
2344,華邦電(2344.TW),3.32,"40,000,000",143.00
2345,智邦(2345.TW),3.13,"2,307,000",2335.00
2308,台達電(2308.TW),2.79,"3,040,000",1580.00
3711,日月光投控(3711.TW),2.27,"6,400,000",610.00
3653,健策(3653.TW),2.25,"1,030,000",3770.00
6669,緯穎(6669.TW),2.06,"600,000",5925.00
2327,國巨*(2327.TW),1.92,"6,000,000",552.00
4958,臻鼎-KY(4958.TW),1.51,"6,154,000",421.50
5274,信驊(5274.TW),1.47,"158,500",15975.00
3533,嘉澤(3533.TW),1.44,"1,240,000",2005.00
6488,環球晶(6488.TW),1.31,"2,600,000",866.00
3189,景碩(3189.TW),1.30,"3,217,000",698.00
3443,創意(3443.TW),1.24,"510,000",4185.00
3665,貿聯-KY(3665.TW),1.23,"1,010,000",2095.00
6274,台燿(6274.TW),1.19,"1,680,000",1220.00
7769,鴻勁(7769.TW),1.12,"300,000",6425.00
2360,致茂(2360.TW),1.02,"897,000",1960.00
8046,南電(8046.TW),0.97,"1,750,000",953.00
8996,高力(8996.TW),0.87,"1,600,000",940.00
6805,富世達(6805.TW),0.60,"700,000",1470.00
1560,中砂(1560.TW),0.53,"1,350,000",671.00
6239,力成(6239.TW),0.52,"3,740,000",238.50
2337,旺宏(2337.TW),0.48,"7,498,000",110.50
2317,鴻海(2317.TW),0.47,"3,200,000",253.00
1303,南亞(1303.TW),0.44,"4,587,000",165.00
3008,大立光(3008.TW),0.39,"170,000",3960.00
3211,順達(3211.TW),0.36,"2,000,000",309.00
3583,辛耘(3583.TW),0.35,"900,000",670.00
4966,譜瑞-KY(4966.TW),0.27,"800,000",576.00
8358,金居(8358.TW),0.25,"1,312,000",327.50
2049,上銀(2049.TW),0.19,"1,010,000",332.00
6442,光聖(6442.TW),0.17,"225,000",1270.00
2404,漢唐(2404.TW),0.16,"250,000",1105.00
6415,矽力*-KY(6415.TW),0.15,"624,000",424.50
6515,穎崴(6515.TW),0.11,"29,000",6250.00
3450,聯鈞(3450.TW),0.08,"337,000",409.00
3264,欣銓(3264.TW),0.08,"700,000",187.50
2481,強茂(2481.TW),0.07,"869,000",129.00
2455,全新(2455.TW),0.06,"336,000",321.00
6285,啟碁(6285.TW),0.03,"250,000",239.00
1717,長興(1717.TW),0.02,"500,000",61.70
