股票代號,個股名稱,投資比例(%),持有股數,Price
2330,台積電(2330.TW),18.64,"12,800,000",2460.00
2303,聯電(2303.TW),7.37,"75,000,000",166.00
2327,國巨*(2327.TW),5.98,"10,050,000",1005.00
3017,奇鋐(3017.TW),5.45,"3,450,000",2670.00
2344,華邦電(2344.TW),4.29,"39,600,000",183.00
3037,欣興(3037.TW),4.07,"7,500,000",917.00
6223,旺矽(6223.TW),4.06,"1,000,000",6855.00
2383,台光電(2383.TW),3.69,"1,140,000",5475.00
2454,聯發科(2454.TW),3.64,"1,490,000",4125.00
2345,智邦(2345.TW),3.29,"2,100,000",2645.00
2308,台達電(2308.TW),2.87,"2,430,000",1995.00
6669,緯穎(6669.TW),2.35,"790,000",5035.00
3711,日月光投控(3711.TW),2.25,"5,600,000",679.00
4958,臻鼎-KY(4958.TW),2.21,"6,440,000",579.00
2368,金像電(2368.TW),1.99,"2,750,000",1225.00
6274,台燿(6274.TW),1.64,"1,700,000",1630.00
6488,環球晶(6488.TW),1.58,"2,000,000",1335.00
3533,嘉澤(3533.TW),1.56,"1,240,000",2125.00
3653,健策(3653.TW),1.53,"780,000",3320.00
3189,景碩(3189.TW),1.45,"3,217,000",763.00
8996,高力(8996.TW),1.32,"1,560,000",1425.00
3443,創意(3443.TW),1.31,"480,000",4605.00
7769,鴻勁(7769.TW),1.12,"279,000",6800.00
6515,穎崴(6515.TW),1.06,"200,000",8915.00
2337,旺宏(2337.TW),0.86,"10,000,000",144.50
1303,南亞(1303.TW),0.83,"7,550,000",185.00
8358,金居(8358.TW),0.65,"1,950,000",563.00
2360,致茂(2360.TW),0.58,"450,000",2180.00
6805,富世達(6805.TW),0.53,"570,000",1570.00
8046,南電(8046.TW),0.51,"795,000",1075.00
2317,鴻海(2317.TW),0.46,"3,200,000",242.00
3583,辛耘(3583.TW),0.46,"900,000",860.00
3529,力旺(3529.TW),0.45,"269,000",2805.00
3211,順達(3211.TW),0.45,"1,800,000",422.50
1560,中砂(1560.TW),0.44,"1,000,000",745.00
5274,信驊(5274.TW),0.43,"45,000",16270.00
6196,帆宣(6196.TW),0.34,"1,000,000",570.00
6415,矽力*-KY(6415.TW),0.33,"900,000",620.00
4966,譜瑞-KY(4966.TW),0.30,"800,000",639.00
6442,光聖(6442.TW),0.28,"300,000",1595.00
2049,上銀(2049.TW),0.22,"1,010,000",364.00
3665,貿聯-KY(3665.TW),0.19,"166,000",1945.00
6239,力成(6239.TW),0.18,"900,000",344.50
6147,頎邦(6147.TW),0.13,"1,000,000",217.00
3264,欣銓(3264.TW),0.09,"600,000",257.00
2455,全新(2455.TW),0.09,"450,000",338.00
