股票代號,個股名稱,投資比例(%),持有股數,Price
2330,台積電(2330.TW),18.18,"251,000",2465.00
2454,聯發科(2454.TW),6.60,"48,600",4625.00
2308,台達電(2308.TW),3.06,"58,000",1795.00
3008,大立光(3008.TW),2.54,"12,588",6870.00
2455,全新(2455.TW),2.49,"159,000",533.00
2382,廣達(2382.TW),2.25,"224,000",342.00
6669,緯穎(6669.TW),2.10,"30,803",2325.00
5274,信驊(5274.TW),2.08,"3,808",18605.00
3037,欣興(3037.TW),2.07,"71,000",993.00
7828,創新服務(7828.TW),2.02,"33,000",2080.00
3711,日月光投控(3711.TW),1.97,"105,000",640.00
2881,富邦金(2881.TW),1.97,"457,000",147.00
2345,智邦(2345.TW),1.96,"33,053",2015.00
2884,玉山金(2884.TW),1.92,"1,475,000",44.25
2357,華碩(2357.TW),1.87,"65,000",979.00
2360,致茂(2360.TW),1.85,"27,000",2335.00
4958,臻鼎-KY(4958.TW),1.83,"124,000",502.00
7769,鴻勁(7769.TW),1.82,"9,217",6720.00
6223,旺矽(6223.TW),1.76,"10,674",5615.00
2303,聯電(2303.TW),1.71,"412,000",141.50
3491,昇達科(3491.TW),1.71,"40,000",1455.00
2383,台光電(2383.TW),1.63,"10,300",5375.00
2313,華通(2313.TW),1.62,"241,356",228.00
2883,凱基金(2883.TW),1.62,"1,501,000",36.75
2891,中信金(2891.TW),1.50,"769,000",66.60
2886,兆豐金(2886.TW),1.37,"924,000",50.30
6285,啟碁(6285.TW),1.34,"196,000",233.50
5347,世界(5347.TW),1.23,"267,000",157.00
6531,愛普*(6531.TW),1.20,"41,000",999.00
6515,穎崴(6515.TW),1.14,"5,313",7280.00
2887,台新新光金(2887.TW),1.11,"889,160",42.40
2882,國泰金(2882.TW),1.05,"322,000",110.50
8464,億豐(8464.TW),1.04,"94,000",375.00
4991,環宇-KY(4991.TW),1.03,"70,000",499.00
2059,川湖(2059.TW),1.03,"2,834",12400.00
2603,長榮(2603.TW),1.02,"149,000",234.00
2379,瑞昱(2379.TW),1.01,"49,000",705.00
1477,聚陽(1477.TW),0.89,"154,000",197.50
2412,中華電(2412.TW),0.80,"194,000",139.50
6510,精測(6510.TW),0.79,"7,467",3610.00
3131,弘塑(3131.TW),0.78,"10,330",2555.00
4904,遠傳(4904.TW),0.75,"245,000",104.00
3231,緯創(3231.TW),0.74,"134,000",189.00
6187,萬潤(6187.TW),0.72,"18,305",1330.00
2327,國巨*(2327.TW),0.63,"38,000",565.00
2317,鴻海(2317.TW),0.58,"79,000",252.00
5904,寶雅*(5904.TW),0.56,"260,000",72.90
4938,和碩(4938.TW),0.31,"114,000",91.10
2890,永豐金(2890.TW),0.29,"229,920",43.20
1216,統一(1216.TW),0.28,"124,000",76.00
2368,金像電(2368.TW),0.28,"8,700",1100.00
2912,統一超(2912.TW),0.26,"40,000",217.50
3034,聯詠(3034.TW),0.21,"13,000",543.00
5871,中租-KY(5871.TW),0.14,"42,920",112.00
FITXN*1,台股期貨09/26(FITXN*1.TF),0.14,24,
6944,兆聯實業(6944.TW),0.10,"4,800",715.00
2885,元大金(2885.TW),0.02,"10,040",69.70
臺指選擇權09/26 44500 買權,臺指選擇權09/26 44500 買權,-1.28,-320,
