股票代號,個股名稱,投資比例(%),持有股數,Price
LITE,Lumentum(LITE.US),6.74,"53,000",
SNDK,Sandisk(SNDK.US),4.74,"34,400",
MU,Micron(MU.US),3.87,"55,000",
6787,Meiko Electronics(6787.JP),3.57,"130,000",
GLW,Corning(GLW.US),3.14,"120,700",
CIEN,Ciena(CIEN.US),3.09,"42,000",
5801,Furukawa Electric(5801.JP),3.09,"72,000",
2383,台光電(2383.TW),2.68,"144,000",3835.00
6515,穎崴(6515.TW),2.66,"60,000",9820.00
GEV,GE Vernova(GEV.US),2.50,"16,400",
BE,Bloom Energy(BE.US),2.48,"75,000",
3017,奇鋐(3017.TW),2.44,"215,000",2440.00
285A,Kioxia Holdings(285A.JP),2.41,"76,500",
COHR,Coherent(COHR.US),2.38,"50,000",
009150,Samsung Elec Mech(009150.KS),2.33,"36,000",
SIEMENS ENERGY AG,SIEMENS ENERGY AG,2.31,"75,000",
GOOGL,Alphabet - Class A Common Stock(GOOGL.US),2.29,"44,000",
3037,欣興(3037.TW),2.26,"750,000",645.00
3110,Nittobo(3110.JP),2.24,"87,000",
2308,台達電(2308.TW),2.24,"257,000",1845.00
005930,SAMSUNG ELEC(005930.KS),2.11,"95,000",
5706,Mitsui Kinzoku(5706.JP),2.08,"60,000",53.10
5274,信驊(5274.TW),2.03,"30,000",14480.00
WDC,Western Digital(WDC.US),1.97,"35,000",
TER,Teradyne(TER.US),1.97,"35,000",
2330,台積電(2330.TW),1.80,"177,000",2085.00
FORMFACTOR INC,FORMFACTOR INC,1.80,"90,000",
HOCHTIEF AG,HOCHTIEF AG,1.67,"20,000",
MARVELL TECHNOLOGY INC,MARVELL TECHNOLOGY INC,1.66,"80,000",
AIXTRON SE,AIXTRON SE,1.44,"187,432",
7826,Furuya Metal(7826.JP),1.38,"190,000",
2360,致茂(2360.TW),1.18,"120,000",2050.00
5803,Fujikura(5803.JP),1.16,"210,000",
AMD,AMD(AMD.US),1.00,"25,000",
NVDA,NVIDIA(NVDA.US),0.92,"30,000",
S.O.I.T.E.C.,S.O.I.T.E.C.,0.91,"65,000",
6869,長飛光纖光纜(6869.HK),0.89,"220,000",86.50
268A,Rigaku Holdings(268A.JP),0.68,"300,000",
AXTI,AXT(AXTI.US),0.66,"68,000",
VIAV,Viavi Solutions(VIAV.US),0.61,"100,000",
4971,MEC(4971.JP),0.59,"71,000",698.00
BKSY,BlackSky(BKSY.US),0.54,"105,224",
KEYS,Keysight Technologies(KEYS.US),0.50,"10,000",
日月光投控,日月光投控,0.44,"200,000",
7769,鴻勁(7769.TW),0.42,"20,000",4295.00
FSLY,Fastly(FSLY.US),0.31,"85,000",
SUSS MICROTEC SE,SUSS MICROTEC SE,0.28,"25,000",
NIPPON CHEMI-CON CORP,NIPPON CHEMI-CON CORP,0.25,"125,000",
