股票代號,個股名稱,投資比例(%),持有股數,Price
LITE,Lumentum(LITE.US),8.07,"101,272",
MU,Micron(MU.US),4.34,"55,645",
MRVL,Marvell(MRVL.US),4.17,"207,000",
3037,欣興(3037.TW),3.56,"1,146,000",1110.00
285A,Kioxia Holdings(285A.JP),3.45,"125,500",
AMD,AMD(AMD.US),3.38,"85,079",
NVDA,NVIDIA(NVDA.US),3.23,"170,000",
2383,台光電(2383.TW),3.07,"212,000",5490.00
CRDO,Credo(CRDO.US),2.76,"138,000",
BE,Bloom Energy(BE.US),2.63,"144,800",
6981,Murata Mfg.(6981.JP),2.58,"674,300",
2330,台積電(2330.TW),2.57,"406,000",2420.00
TSEM,Tower Semiconductor(TSEM.US),2.56,"139,700",
009150,Samsung Elec Mech(009150.KS),2.53,"30,192",
SMTC,Semtech(SMTC.US),2.45,"206,700",
000660,SK hynix(000660.KS),2.21,"21,113",
2308,台達電(2308.TW),2.05,"441,000",1830.00
WDC,Western Digital(WDC.US),1.90,"49,262",
INFINEON TECHNOLOGIES AG,INFINEON TECHNOLOGIES AG,1.84,"332,843",
NTRA,Natera(NTRA.US),1.73,"61,200",
SNDK,Sandisk(SNDK.US),1.68,"13,543",
NOW,ServiceNow(NOW.US),1.60,"138,800",
6857,Advantest(6857.JP),1.59,"88,100",
SPCX,SpaceX(SPCX.US),1.58,"134,300",
TEAM,Atlassian(TEAM.US),1.57,"101,300",
TER,Teradyne(TER.US),1.44,"46,320",
2454,聯發科(2454.TW),1.44,"142,000",3985.00
6274,台燿(6274.TW),1.43,"376,000",1490.00
AMZN,Amazon(AMZN.US),1.42,"66,400",
INTC,Intel(INTC.US),1.40,"182,500",
COHR,Coherent(COHR.US),1.29,"52,539",
MSFT,Microsoft(MSFT.US),1.25,"29,680",
META,Meta(META.US),1.22,"25,600",
6223,旺矽(6223.TW),1.20,"90,000",5030.00
PANW,Palo Alto(PANW.US),1.19,"37,155",
RBRK,Rubrik(RBRK.US),1.09,"122,500",
PLTR,Palantir Technologies(PLTR.US),1.04,"66,842",
AXTI,AXT(AXTI.US),1.04,"187,220",
8046,南電(8046.TW),1.03,"302,000",1240.00
3711,日月光投控(3711.TW),1.02,"641,000",621.00
CIEN,Ciena(CIEN.US),1.01,"30,197",
NBIS,Nebius Group(NBIS.US),1.01,"55,500",
4062,IBIDEN(4062.JP),0.96,"89,700",
2345,智邦(2345.TW),0.95,"172,000",2125.00
DIOD,Diodes(DIOD.US),0.85,"111,900",
2449,京元電子(2449.TW),0.66,"1,008,000",270.00
RVMD,Revolution Medicines(RVMD.US),0.51,"27,600",
TWST,Twist Bioscience(TWST.US),0.49,"38,500",
CBRS,Cerebras(CBRS.US),0.40,"25,900",
