股票代號,個股名稱,投資比例(%),持有股數,Price
LITE,Lumentum(LITE.US),7.36,"70,985",
2308,台達電(2308.TW),4.77,"628,000",1980.00
SNDK,Sandisk(SNDK.US),4.66,"40,093",
MU,Micron(MU.US),3.59,"62,071",
2330,台積電(2330.TW),3.35,"433,000",2080.00
BE,Bloom Energy(BE.US),2.98,"109,100",
GLW,Corning(GLW.US),2.92,"145,895",
TSEM,Tower Semiconductor(TSEM.US),2.89,"118,182",
TER,Teradyne(TER.US),2.68,"58,500",
285A,Kioxia Holdings(285A.JP),2.67,"102,900",
5706,Mitsui Kinzoku(5706.JP),2.63,"92,300",50.90
CIEN,Ciena(CIEN.US),2.51,"42,342",
5801,Furukawa Electric(5801.JP),2.41,"73,200",
3653,健策(3653.TW),2.24,"110,000",5310.00
009150,Samsung Elec Mech(009150.KS),2.24,"34,369",
2383,台光電(2383.TW),2.21,"144,000",4100.00
AMD,AMD(AMD.US),2.08,"57,600",
AEHR,Aehr Test Systems(AEHR.US),2.05,"177,400",
005930,SAMSUNG ELEC(005930.KS),2.03,"115,810",
WDC,Western Digital(WDC.US),1.92,"41,462",
MARVELL TECHNOLOGY INC,MARVELL TECHNOLOGY INC,1.92,"103,000",
6787,Meiko Electronics(6787.JP),1.87,"85,300",
2345,智邦(2345.TW),1.83,"221,000",2080.00
AIXTRON SE,AIXTRON SE,1.81,"278,437",
2368,金像電(2368.TW),1.74,"370,000",1265.00
CRWV,CoreWeave(CRWV.US),1.60,"109,900",
AVGO,Broadcom(AVGO.US),1.55,"30,960",
S.O.I.T.E.C.,S.O.I.T.E.C.,1.38,"89,943",
3017,奇鋐(3017.TW),1.32,"130,000",2680.00
ORACLE CORP,ORACLE CORP,1.31,"58,680",
3037,欣興(3037.TW),1.28,"475,000",728.00
3110,Nittobo(3110.JP),1.10,"53,700",
COHR,Coherent(COHR.US),1.09,"26,174",
5803,Fujikura(5803.JP),1.09,"243,500",
000660,SK hynix(000660.KS),1.05,"10,711",
3533,嘉澤(3533.TW),1.01,"101,000",2460.00
6274,台燿(6274.TW),0.98,"268,000",950.00
GOOGL,Alphabet - Class A Common Stock(GOOGL.US),0.93,"23,200",
NVDA,NVIDIA(NVDA.US),0.92,"38,250",
6510,精測(6510.TW),0.89,"56,000",3850.00
CROWDSTRIKE HOLDINGS INC - A,CROWDSTRIKE HOLDINGS INC - A,0.84,"15,200",
APP,Applovin(APP.US),0.81,"14,160",
2360,致茂(2360.TW),0.79,"103,000",1940.00
FASTLY INC - CLASS A,FASTLY INC - CLASS A,0.69,"230,200",
NAVITAS SEMICONDUCTOR CORP,NAVITAS SEMICONDUCTOR CORP,0.67,"305,151",
268A,Rigaku Holdings(268A.JP),0.67,"340,900",
ONTO,Onto Innovation(ONTO.US),0.64,"18,000",
5274,信驊(5274.TW),0.61,"10,000",15670.00
PLTR,Palantir Technologies(PLTR.US),0.60,"33,200",
RKLB,Rocket Lab(RKLB.US),0.56,"52,200",
2467,志聖(2467.TW),0.56,"249,000",538.00
力旺,力旺,0.55,"36,000",
臻鼎-KY,臻鼎-KY,0.52,"435,000",
GLOBALFOUNDRIES INC,GLOBALFOUNDRIES INC,0.49,"68,800",
2454,聯發科(2454.TW),0.43,"50,000",2215.00
