股票代號,個股名稱,投資比例(%),持有股數
2330,台積電(2330.TW),6.37,"37,000"
4958,臻鼎-KY(4958.TW),4.05,"209,000"
2308,台達電(2308.TW),3.76,"26,000"
2454,聯發科(2454.TW),3.48,"23,000"
2383,台光電(2383.TW),3.19,"12,000"
2344,華邦電(2344.TW),2.98,"325,000"
6415,矽力*-KY(6415.TW),2.57,"94,000"
4551,智伸科(4551.TW),2.49,"199,000"
5536,聖暉*(5536.TW),2.46,"33,000"
6223,旺矽(6223.TW),2.45,"7,000"
3443,創意(3443.TW),2.31,"10,000"
6831,邁科(6831.TW),2.27,"67,000"
3017,奇鋐(3017.TW),2.15,"11,000"
5234,達興材料(5234.TW),2.12,"62,000"
6781,AES-KY(6781.TW),2.10,"20,000"
6526,達發(6526.TW),2.10,"45,000"
6510,精測(6510.TW),2.09,"7,000"
6805,富世達(6805.TW),1.95,"11,000"
2408,南亞科(2408.TW),1.88,"89,000"
3665,貿聯-KY(3665.TW),1.85,"11,000"
3533,嘉澤(3533.TW),1.81,"9,000"
8046,南電(8046.TW),1.76,"35,000"
6770,力積電(6770.TW),1.64,"271,000"
6139,亞翔(6139.TW),1.59,"26,000"
3131,弘塑(3131.TW),1.49,"6,000"
3653,健策(3653.TW),1.47,"4,000"
3661,世芯-KY(3661.TW),1.47,"5,000"
2345,智邦(2345.TW),1.41,"9,000"
2368,金像電(2368.TW),1.29,"15,000"
2467,志聖(2467.TW),1.28,"34,000"
3711,日月光投控(3711.TW),1.28,"39,000"
3211,順達(3211.TW),1.14,"35,000"
3264,欣銓(3264.TW),1.12,"78,000"
2449,京元電子(2449.TW),1.05,"39,000"
2455,全新(2455.TW),0.99,"40,000"
2543,皇昌(2543.TW),0.95,"155,000"
2645,長榮航太(2645.TW),0.87,"60,000"
1519,華城(1519.TW),0.78,"9,000"
6669,緯穎(6669.TW),0.70,"2,000"
3363,上詮(3363.TW),0.63,"10,000"
2360,致茂(2360.TW),0.61,"4,000"
8210,勤誠(8210.TW),0.59,"7,000"
2327,國巨*(2327.TW),0.46,"19,000"
4749,新應材(4749.TW),0.42,"5,000"
1303,南亞(1303.TW),0.38,"53,000"
3693,營邦(3693.TW),0.33,"7,000"
4583,台灣精銳(4583.TW),0.25,"4,000"
2881,富邦金(2881.TW),0.17,"20,000"
2882,國泰金(2882.TW),0.17,"25,000"
1802,台玻(1802.TW),0.17,"34,000"
2317,鴻海(2317.TW),0.17,"9,000"
2382,廣達(2382.TW),0.16,"6,000"
