股票代號,個股名稱,投資比例(%),持有股數
2330,台積電(2330.TW),9.24,"4,873,000"
2383,台光電(2383.TW),7.71,"2,636,000"
2308,台達電(2308.TW),6.92,"4,339,000"
3017,奇鋐(3017.TW),6.43,"2,976,000"
2345,智邦(2345.TW),5.72,"3,301,000"
3653,健策(3653.TW),5.59,"1,378,000"
2368,金像電(2368.TW),5.54,"5,841,000"
6223,旺矽(6223.TW),5.34,"1,384,000"
3665,貿聯-KY(3665.TW),5.15,"2,775,848"
3037,欣興(3037.TW),3.86,"7,410,000"
5274,信驊(5274.TW),3.05,"258,000"
2327,國巨*(2327.TW),2.89,"10,803,000"
8046,南電(8046.TW),2.89,"5,206,000"
6515,穎崴(6515.TW),2.33,"268,000"
2449,京元電子(2449.TW),2.10,"7,082,000"
3711,日月光投控(3711.TW),2.05,"5,654,000"
6510,精測(6510.TW),1.94,"591,000"
3661,世芯-KY(3661.TW),1.72,"531,000"
8210,勤誠(8210.TW),1.51,"1,622,000"
6805,富世達(6805.TW),1.34,"682,000"
1303,南亞(1303.TW),1.34,"17,098,000"
6139,亞翔(6139.TW),1.16,"1,724,000"
3211,順達(3211.TW),1.14,"3,198,000"
3189,景碩(3189.TW),0.96,"2,657,000"
2454,聯發科(2454.TW),0.81,"487,000"
6488,環球晶(6488.TW),0.79,"1,701,000"
5347,世界(5347.TW),0.73,"5,719,000"
3443,創意(3443.TW),0.67,"265,000"
2404,漢唐(2404.TW),0.56,"574,000"
6274,台燿(6274.TW),0.50,"845,000"
4979,華星光(4979.TW),0.45,"1,037,000"
8358,金居(8358.TW),0.44,"1,865,000"
1326,台化(1326.TW),0.39,"8,828,000"
萬潤,萬潤,0.38,"388,000"
6191,精成科(6191.TW),0.33,"3,400,000"
3376,新日興(3376.TW),0.32,"1,426,000"
2408,南亞科(2408.TW),0.30,"1,306,000"
6669,緯穎(6669.TW),0.29,"74,000"
8996,高力(8996.TW),0.28,"335,000"
3264,欣銓(3264.TW),0.28,"1,790,000"
3533,嘉澤(3533.TW),0.25,"115,000"
3324,雙鴻(3324.TW),0.17,"159,000"
1319,東陽(1319.TW),0.13,"1,502,000"
2002,中鋼(2002.TW),0.10,"4,927,000"
3217,優群(3217.TW),0.06,"356,000"
3008,大立光(3008.TW),0.02,"8,000"
2357,華碩(2357.TW),0.00,"6,000"
2313,華通(2313.TW),0.00,"5,000"
1815,富喬(1815.TW),0.00,"4,000"
3045,台灣大(3045.TW),0.00,"7,000"
3583,辛耘(3583.TW),0.00,"2,000"
5536,聖暉*(5536.TW),0.00,"3,000"
