股票代號,個股名稱,投資比例(%),持有股數,Price
2330,台積電(2330.TW),9.39,"1,406,000",2425.00
2383,台光電(2383.TW),7.36,"563,000",4745.00
3017,奇鋐(3017.TW),6.41,"1,002,000",2320.00
2059,川湖(2059.TW),6.34,"293,000",7850.00
2345,智邦(2345.TW),6.33,"1,080,000",2125.00
3665,貿聯-KY(3665.TW),5.53,"955,000",2100.00
6223,旺矽(6223.TW),4.74,"326,000",5280.00
3008,大立光(3008.TW),4.73,"420,000",4035.00
3037,欣興(3037.TW),4.55,"2,097,000",787.00
2454,聯發科(2454.TW),3.98,"406,000",3555.00
8996,高力(8996.TW),3.84,"1,630,000",855.00
6187,萬潤(6187.TW),3.12,"1,220,000",929.00
6584,南俊國際(6584.TW),2.75,"2,231,000",425.50
3231,緯創(3231.TW),2.75,"5,662,000",176.00
3711,日月光投控(3711.TW),2.49,"1,629,000",555.00
8021,尖點(8021.TW),2.23,"2,501,000",323.00
3443,創意(3443.TW),2.21,"211,000",3805.00
2455,全新(2455.TW),2.21,"2,753,000",292.00
3661,世芯-KY(3661.TW),1.81,"215,000",3060.00
8299,群聯(8299.TW),1.66,"366,000",1640.00
6669,緯穎(6669.TW),1.14,"77,000",5390.00
3026,禾伸堂(3026.TW),1.06,"821,000",450.00
7751,竑騰(7751.TW),1.05,"310,000",1230.00
6488,環球晶(6488.TW),0.93,"394,000",855.00
3189,景碩(3189.TW),0.77,"440,013",635.00
6515,穎崴(6515.TW),0.67,"42,000",5815.00
7734,印能科技(7734.TW),0.52,"56,000",3370.00
6139,亞翔(6139.TW),0.49,"250,000",707.00
6805,富世達(6805.TW),0.41,"109,000",1350.00
3260,威剛(3260.TW),0.41,"358,000",398.50
2337,旺宏(2337.TW),0.37,"1,343,000",100.50
5289,宜鼎(5289.TW),0.35,"98,000",1295.00
3583,辛耘(3583.TW),0.26,"147,000",650.00
3363,上詮(3363.TW),0.26,"200,000",480.50
3264,欣銓(3264.TW),0.04,"72,000",177.00
3491,昇達科(3491.TW),0.00,"1,000",969.00
