股票代號,個股名稱,投資比例(%),持有股數,Price
2330,台積電(2330.TW),7.64,"1,761,000",2270.00
2383,台光電(2383.TW),5.04,"536,000",4920.00
6669,緯穎(6669.TW),4.83,"465,000",5435.00
8299,群聯(8299.TW),3.92,"711,000",2880.00
3037,欣興(3037.TW),3.88,"2,302,000",881.00
2345,智邦(2345.TW),3.66,"716,000",2675.00
3661,世芯-KY(3661.TW),3.63,"393,000",4830.00
3443,創意(3443.TW),3.49,"360,000",5075.00
6223,旺矽(6223.TW),3.48,"289,000",6290.00
8996,高力(8996.TW),3.44,"1,689,000",1065.00
2059,川湖(2059.TW),3.43,"358,000",5010.00
6510,精測(6510.TW),3.35,"422,000",4150.00
3105,穩懋(3105.TW),3.17,"3,433,000",483.50
6515,穎崴(6515.TW),3.04,"151,000",10540.00
3665,貿聯-KY(3665.TW),2.87,"667,000",2250.00
7769,鴻勁(7769.TW),2.80,"194,000",7560.00
8046,南電(8046.TW),2.68,"1,658,000",847.00
3017,奇鋐(3017.TW),2.45,"501,000",2555.00
2408,南亞科(2408.TW),2.14,"3,280,000",341.00
3081,聯亞(3081.TW),2.14,"380,000",2945.00
3533,嘉澤(3533.TW),1.97,"420,000",2450.00
2368,金像電(2368.TW),1.83,"669,000",1430.00
3163,波若威(3163.TW),1.80,"923,000",1020.00
6274,台燿(6274.TW),1.76,"636,000",1450.00
6442,光聖(6442.TW),1.73,"488,000",1855.00
6584,南俊國際(6584.TW),1.71,"1,337,000",667.00
5274,信驊(5274.TW),1.53,"45,000",17810.00
2308,台達電(2308.TW),1.47,"357,000",2155.00
6531,愛普*(6531.TW),1.41,"703,000",1050.00
2455,全新(2455.TW),1.32,"1,927,000",358.50
3653,健策(3653.TW),1.27,"197,000",3365.00
2454,聯發科(2454.TW),1.17,"180,000",3405.00
7751,竑騰(7751.TW),1.15,"387,000",1550.00
4991,環宇-KY(4991.TW),0.94,"692,000",708.00
2360,致茂(2360.TW),0.89,"207,000",2260.00
3036,文曄(3036.TW),0.61,"1,177,000",271.50
5289,宜鼎(5289.TW),0.51,"142,000",1865.00
3189,景碩(3189.TW),0.49,"486,013",522.00
2337,旺宏(2337.TW),0.41,"1,271,000",169.00
3260,威剛(3260.TW),0.34,"393,000",447.00
3711,日月光投控(3711.TW),0.34,"320,000",548.00
3491,昇達科(3491.TW),0.30,"97,000",1625.00
3324,雙鴻(3324.TW),0.29,"151,000",1015.00
2344,華邦電(2344.TW),0.23,"893,000",134.00
2327,國巨*(2327.TW),0.18,"200,000",462.00
3583,辛耘(3583.TW),0.06,"33,000",929.00
