股票代號,個股名稱,投資比例(%),持有股數,Price
2327,國巨*(2327.TW),8.80,"405,000",1125.00
2330,台積電(2330.TW),8.26,"179,000",2390.00
4958,臻鼎-KY(4958.TW),7.10,"611,000",602.00
2454,聯發科(2454.TW),6.74,"81,000",4310.00
2383,台光電(2383.TW),5.56,"51,000",5640.00
2472,立隆電(2472.TW),4.61,"601,000",397.00
2308,台達電(2308.TW),4.02,"105,000",1980.00
2344,華邦電(2344.TW),3.79,"895,000",219.50
8046,南電(8046.TW),3.53,"175,000",1045.00
6831,邁科(6831.TW),3.01,"177,000",881.00
2408,南亞科(2408.TW),2.73,"296,000",477.00
6510,精測(6510.TW),2.58,"39,000",3430.00
6223,旺矽(6223.TW),2.54,"19,000",6905.00
3443,創意(3443.TW),2.44,"26,000",4850.00
3042,晶技(3042.TW),2.39,"662,000",187.00
3037,欣興(3037.TW),2.38,"121,000",1020.00
6830,汎銓(6830.TW),2.02,"198,000",529.00
6531,愛普*(6531.TW),2.00,"94,000",1100.00
6213,聯茂(6213.TW),1.82,"277,000",339.50
2345,智邦(2345.TW),1.75,"38,000",2380.00
3131,弘塑(3131.TW),1.72,"25,000",3570.00
8210,勤誠(8210.TW),1.66,"67,000",1285.00
3661,世芯-KY(3661.TW),1.47,"18,000",4230.00
6770,力積電(6770.TW),1.34,"836,000",83.20
3653,健策(3653.TW),1.31,"20,000",3390.00
6526,達發(6526.TW),1.22,"91,000",692.00
3711,日月光投控(3711.TW),1.11,"90,000",641.00
2360,致茂(2360.TW),1.06,"25,000",2185.00
3363,上詮(3363.TW),0.89,"73,000",629.00
3081,聯亞(3081.TW),0.86,"21,000",2120.00
6239,力成(6239.TW),0.82,"130,000",326.00
5269,祥碩(5269.TW),0.61,"22,000",1435.00
3017,奇鋐(3017.TW),0.53,"11,000",2505.00
1303,南亞(1303.TW),0.42,"140,000",155.00
2049,上銀(2049.TW),0.37,"58,000",334.50
4583,台灣精銳(4583.TW),0.35,"30,000",600.00
2368,金像電(2368.TW),0.34,"14,000",1240.00
2337,旺宏(2337.TW),0.29,"92,000",161.50
3693,營邦(3693.TW),0.29,"30,000",504.00
2467,志聖(2467.TW),0.28,"25,000",585.00
1802,台玻(1802.TW),0.12,"90,000",69.60
3665,貿聯-KY(3665.TW),0.11,"3,000",1920.00
6805,富世達(6805.TW),0.10,"3,000",1750.00
4749,新應材(4749.TW),0.09,"5,000",927.00
3533,嘉澤(3533.TW),0.09,"2,000",2225.00
2881,富邦金(2881.TW),0.05,"20,000",136.00
2882,國泰金(2882.TW),0.05,"25,000",111.50
2449,京元電子(2449.TW),0.04,"6,000",334.50
2317,鴻海(2317.TW),0.04,"9,000",257.50
2382,廣達(2382.TW),0.04,"6,000",366.50
