股票代號,個股名稱,投資比例(%),持有股數,Price
2330,台積電(2330.TW),8.48,"179,000",2385.00
2454,聯發科(2454.TW),6.69,"76,000",4430.00
4958,臻鼎-KY(4958.TW),5.98,"611,000",492.50
2327,國巨*(2327.TW),5.60,"379,000",743.00
2308,台達電(2308.TW),5.06,"105,000",2425.00
2383,台光電(2383.TW),4.90,"51,000",4830.00
2472,立隆電(2472.TW),3.74,"537,000",350.00
2344,華邦電(2344.TW),3.19,"895,000",179.50
6831,邁科(6831.TW),3.07,"214,000",721.00
8046,南電(8046.TW),3.05,"175,000",878.00
6510,精測(6510.TW),2.72,"39,000",3505.00
6830,汎銓(6830.TW),2.66,"198,000",676.00
3363,上詮(3363.TW),2.49,"149,000",840.00
6526,達發(6526.TW),2.40,"176,000",687.00
3037,欣興(3037.TW),2.33,"121,000",971.00
2408,南亞科(2408.TW),2.32,"296,000",395.00
6223,旺矽(6223.TW),2.29,"19,000",6070.00
3443,創意(3443.TW),2.27,"26,000",4400.00
2337,旺宏(2337.TW),2.09,"672,000",156.50
2455,全新(2455.TW),2.04,"255,000",402.00
2345,智邦(2345.TW),1.90,"38,000",2510.00
8210,勤誠(8210.TW),1.89,"67,000",1420.00
3131,弘塑(3131.TW),1.59,"25,000",3210.00
3661,世芯-KY(3661.TW),1.55,"18,000",4340.00
6213,聯茂(6213.TW),1.43,"277,000",260.50
6770,力積電(6770.TW),1.35,"836,000",81.00
2360,致茂(2360.TW),1.30,"25,000",2620.00
3081,聯亞(3081.TW),1.08,"21,000",2580.00
3711,日月光投控(3711.TW),1.06,"90,000",593.00
6643,M31(6643.TW),1.05,"94,000",561.00
3653,健策(3653.TW),1.04,"14,000",3730.00
6531,愛普*(6531.TW),0.96,"46,000",1055.00
5269,祥碩(5269.TW),0.69,"22,000",1570.00
3017,奇鋐(3017.TW),0.59,"11,000",2710.00
2049,上銀(2049.TW),0.41,"58,000",358.00
4583,台灣精銳(4583.TW),0.40,"30,000",675.00
2368,金像電(2368.TW),0.38,"14,000",1350.00
3693,營邦(3693.TW),0.34,"30,000",571.00
2467,志聖(2467.TW),0.31,"25,000",626.00
1303,南亞(1303.TW),0.31,"140,000",111.00
4551,智伸科(4551.TW),0.17,"59,000",145.00
3665,貿聯-KY(3665.TW),0.13,"3,000",2155.00
1802,台玻(1802.TW),0.12,"90,000",68.90
6805,富世達(6805.TW),0.12,"3,000",1985.00
4749,新應材(4749.TW),0.10,"5,000",1025.00
3533,嘉澤(3533.TW),0.10,"2,000",2400.00
2881,富邦金(2881.TW),0.05,"20,000",114.00
2882,國泰金(2882.TW),0.05,"25,000",94.40
2317,鴻海(2317.TW),0.05,"9,000",293.00
2382,廣達(2382.TW),0.05,"6,000",404.00
2449,京元電子(2449.TW),0.04,"6,000",322.00
