股票代號,個股名稱,投資比例(%),持有股數,Price
2330,台積電(2330.TW),9.36,"179,000",2420.00
4958,臻鼎-KY(4958.TW),8.30,"611,000",629.00
2454,聯發科(2454.TW),6.40,"81,000",3660.00
2327,國巨*(2327.TW),6.39,"380,000",778.00
2383,台光電(2383.TW),5.47,"51,000",4970.00
8046,南電(8046.TW),4.88,"175,000",1290.00
2308,台達電(2308.TW),4.21,"105,000",1855.00
2472,立隆電(2472.TW),4.17,"601,000",321.00
2344,華邦電(2344.TW),3.18,"895,000",164.50
3042,晶技(3042.TW),3.06,"765,000",185.00
2408,南亞科(2408.TW),2.86,"296,000",448.00
6831,邁科(6831.TW),2.63,"177,000",688.00
6223,旺矽(6223.TW),2.60,"19,000",6340.00
3037,欣興(3037.TW),2.28,"121,000",874.00
3443,創意(3443.TW),2.26,"26,000",4020.00
6213,聯茂(6213.TW),2.09,"277,000",348.50
6531,愛普*(6531.TW),1.74,"94,000",858.00
3131,弘塑(3131.TW),1.64,"25,000",3045.00
3661,世芯-KY(3661.TW),1.45,"18,000",3725.00
3653,健策(3653.TW),1.33,"20,000",3070.00
2345,智邦(2345.TW),1.33,"27,000",2280.00
6526,達發(6526.TW),1.27,"91,000",646.00
3711,日月光投控(3711.TW),1.25,"90,000",641.00
6510,精測(6510.TW),1.23,"21,000",2700.00
6182,合晶(6182.TW),1.23,"305,000",186.50
8210,勤誠(8210.TW),1.08,"45,000",1110.00
3026,禾伸堂(3026.TW),1.04,"59,000",815.00
2360,致茂(2360.TW),0.98,"25,000",1820.00
3189,景碩(3189.TW),0.97,"56,000",805.00
8021,尖點(8021.TW),0.86,"82,000",487.50
6239,力成(6239.TW),0.85,"130,000",304.00
5269,祥碩(5269.TW),0.72,"22,000",1525.00
1303,南亞(1303.TW),0.63,"140,000",210.00
3017,奇鋐(3017.TW),0.50,"11,000",2120.00
2049,上銀(2049.TW),0.40,"58,000",317.00
4583,台灣精銳(4583.TW),0.39,"30,000",597.00
2368,金像電(2368.TW),0.31,"14,000",1015.00
3693,營邦(3693.TW),0.31,"30,000",476.50
2467,志聖(2467.TW),0.29,"25,000",536.00
2337,旺宏(2337.TW),0.28,"92,000",139.50
1802,台玻(1802.TW),0.12,"90,000",62.30
3665,貿聯-KY(3665.TW),0.11,"3,000",1775.00
4749,新應材(4749.TW),0.09,"5,000",827.00
6805,富世達(6805.TW),0.09,"3,000",1320.00
3533,嘉澤(3533.TW),0.08,"2,000",1925.00
2881,富邦金(2881.TW),0.05,"20,000",125.00
2882,國泰金(2882.TW),0.05,"25,000",96.10
2317,鴻海(2317.TW),0.05,"9,000",235.50
2382,廣達(2382.TW),0.05,"6,000",380.00
2449,京元電子(2449.TW),0.04,"6,000",291.50
