股票代號,個股名稱,投資比例(%),持有股數,Price
2330,台積電(2330.TW),9.97,"179,000",2405.00
2454,聯發科(2454.TW),7.50,"81,000",4000.00
4958,臻鼎-KY(4958.TW),6.35,"562,000",488.00
2383,台光電(2383.TW),6.19,"51,000",5245.00
2327,國巨*(2327.TW),6.02,"450,000",578.00
2308,台達電(2308.TW),4.39,"115,000",1650.00
2472,立隆電(2472.TW),3.52,"633,000",240.50
2344,華邦電(2344.TW),3.50,"895,000",169.00
2408,南亞科(2408.TW),3.05,"296,000",445.00
8046,南電(8046.TW),2.80,"114,000",1060.00
6223,旺矽(6223.TW),2.75,"19,000",6245.00
3037,欣興(3037.TW),2.71,"121,000",969.00
3443,創意(3443.TW),2.64,"26,000",4390.00
6831,邁科(6831.TW),2.57,"186,000",597.00
3653,健策(3653.TW),2.01,"20,000",4340.00
6239,力成(6239.TW),1.97,"331,000",256.50
6278,台表科(6278.TW),1.94,"498,000",168.00
6531,愛普*(6531.TW),1.86,"94,000",855.00
3189,景碩(3189.TW),1.61,"84,000",828.00
3042,晶技(3042.TW),1.52,"371,000",177.00
3661,世芯-KY(3661.TW),1.50,"18,000",3610.00
2345,智邦(2345.TW),1.49,"27,000",2385.00
6770,力積電(6770.TW),1.47,"958,000",66.10
6415,矽力*-KY(6415.TW),1.42,"138,000",445.00
1303,南亞(1303.TW),1.40,"341,000",177.00
3131,弘塑(3131.TW),1.36,"25,000",2345.00
8021,尖點(8021.TW),1.32,"144,000",396.00
3363,上詮(3363.TW),1.25,"90,000",600.00
3711,日月光投控(3711.TW),1.24,"90,000",593.00
8210,勤誠(8210.TW),1.22,"45,000",1170.00
2360,致茂(2360.TW),1.09,"25,000",1885.00
3693,營邦(3693.TW),0.90,"78,000",501.00
6274,台燿(6274.TW),0.82,"24,000",1470.00
5269,祥碩(5269.TW),0.72,"22,000",1415.00
3017,奇鋐(3017.TW),0.70,"11,000",2730.00
6526,達發(6526.TW),0.61,"42,000",632.00
6182,合晶(6182.TW),0.41,"170,000",104.00
6213,聯茂(6213.TW),0.36,"46,000",341.00
4583,台灣精銳(4583.TW),0.36,"30,000",515.00
2368,金像電(2368.TW),0.31,"14,000",940.00
2467,志聖(2467.TW),0.30,"25,000",517.00
3665,貿聯-KY(3665.TW),0.16,"3,000",2355.00
1802,台玻(1802.TW),0.11,"90,000",53.90
3533,嘉澤(3533.TW),0.09,"2,000",1955.00
4749,新應材(4749.TW),0.09,"5,086",794.00
2881,富邦金(2881.TW),0.06,"20,000",129.50
2882,國泰金(2882.TW),0.06,"25,000",100.50
2317,鴻海(2317.TW),0.05,"9,000",258.50
2382,廣達(2382.TW),0.04,"6,000",304.00
2449,京元電子(2449.TW),0.04,"6,300",247.00
