股票代號,個股名稱,投資比例(%),持有股數,Price
2330,台積電(2330.TW),8.39,"179,000",2385.00
2327,國巨*(2327.TW),7.83,"405,000",984.00
4958,臻鼎-KY(4958.TW),7.68,"611,000",639.00
2454,聯發科(2454.TW),7.10,"81,000",4460.00
2383,台光電(2383.TW),5.21,"51,000",5200.00
2308,台達電(2308.TW),4.45,"105,000",2155.00
2472,立隆電(2472.TW),3.86,"537,000",365.50
2344,華邦電(2344.TW),3.50,"895,000",199.00
8046,南電(8046.TW),3.05,"175,000",885.00
3042,晶技(3042.TW),2.92,"662,000",224.00
6510,精測(6510.TW),2.71,"39,000",3540.00
3443,創意(3443.TW),2.59,"26,000",5075.00
6831,邁科(6831.TW),2.58,"177,000",740.00
2408,南亞科(2408.TW),2.54,"296,000",437.00
6223,旺矽(6223.TW),2.40,"19,000",6420.00
3037,欣興(3037.TW),2.35,"121,000",988.00
3363,上詮(3363.TW),2.01,"149,000",685.00
6830,汎銓(6830.TW),2.00,"198,000",513.00
2345,智邦(2345.TW),1.86,"38,000",2495.00
8210,勤誠(8210.TW),1.77,"67,000",1345.00
6531,愛普*(6531.TW),1.72,"94,000",933.00
3131,弘塑(3131.TW),1.60,"25,000",3245.00
3653,健策(3653.TW),1.57,"20,000",3990.00
3661,世芯-KY(3661.TW),1.53,"18,000",4320.00
6213,聯茂(6213.TW),1.46,"277,000",267.50
6526,達發(6526.TW),1.19,"91,000",666.00
6770,力積電(6770.TW),1.15,"836,000",70.20
2360,致茂(2360.TW),1.10,"25,000",2230.00
3711,日月光投控(3711.TW),1.05,"90,000",595.00
3081,聯亞(3081.TW),0.93,"21,000",2245.00
6643,M31(6643.TW),0.89,"94,000",482.50
5269,祥碩(5269.TW),0.62,"22,000",1425.00
3017,奇鋐(3017.TW),0.51,"11,000",2365.00
2368,金像電(2368.TW),0.38,"14,000",1370.00
2049,上銀(2049.TW),0.37,"58,000",324.00
4583,台灣精銳(4583.TW),0.37,"30,000",628.00
1303,南亞(1303.TW),0.35,"140,000",126.50
2337,旺宏(2337.TW),0.29,"92,000",161.50
2467,志聖(2467.TW),0.29,"25,000",585.00
3693,營邦(3693.TW),0.29,"30,000",496.50
4551,智伸科(4551.TW),0.23,"59,000",201.50
3665,貿聯-KY(3665.TW),0.12,"3,000",2090.00
1802,台玻(1802.TW),0.12,"90,000",69.30
6805,富世達(6805.TW),0.10,"3,000",1715.00
4749,新應材(4749.TW),0.09,"5,000",940.00
3533,嘉澤(3533.TW),0.09,"2,000",2300.00
2882,國泰金(2882.TW),0.06,"25,000",113.50
2881,富邦金(2881.TW),0.05,"20,000",135.50
2317,鴻海(2317.TW),0.05,"9,000",272.00
2382,廣達(2382.TW),0.04,"6,000",374.00
2449,京元電子(2449.TW),0.03,"6,000",280.50
