股票代號,個股名稱,投資比例(%),持有股數,Price
2330,台積電(2330.TW),9.66,"179,000",2415.00
2454,聯發科(2454.TW),7.27,"81,000",4015.00
2383,台光電(2383.TW),6.53,"51,000",5730.00
2327,國巨*(2327.TW),6.05,"450,000",602.00
4958,臻鼎-KY(4958.TW),5.92,"562,000",471.50
2308,台達電(2308.TW),4.60,"115,000",1790.00
2344,華邦電(2344.TW),3.54,"895,000",177.00
2472,立隆電(2472.TW),3.54,"633,000",250.00
8046,南電(8046.TW),3.22,"114,000",1265.00
2408,南亞科(2408.TW),3.19,"296,000",482.50
6831,邁科(6831.TW),3.07,"203,000",678.00
3443,創意(3443.TW),2.98,"26,000",5130.00
6223,旺矽(6223.TW),2.80,"19,000",6600.00
3037,欣興(3037.TW),2.70,"121,000",1000.00
6278,台表科(6278.TW),2.09,"548,000",171.00
6239,力成(6239.TW),2.08,"331,000",281.50
3653,健策(3653.TW),2.00,"20,000",4470.00
3661,世芯-KY(3661.TW),1.63,"18,000",4055.00
3189,景碩(3189.TW),1.61,"84,000",858.00
6770,力積電(6770.TW),1.58,"958,000",73.70
6415,矽力*-KY(6415.TW),1.56,"156,000",449.00
3042,晶技(3042.TW),1.50,"371,000",181.50
1303,南亞(1303.TW),1.44,"341,000",189.00
8021,尖點(8021.TW),1.37,"144,000",427.00
2345,智邦(2345.TW),1.34,"27,000",2215.00
6531,愛普*(6531.TW),1.33,"68,000",878.00
小型臺指期貨,小型臺指期貨,1.28,N/A,
3363,上詮(3363.TW),1.27,"90,000",630.00
2360,致茂(2360.TW),1.23,"25,000",2195.00
3693,營邦(3693.TW),1.05,"94,000",502.00
8210,勤誠(8210.TW),1.01,"45,000",1005.00
6274,台燿(6274.TW),0.86,"24,000",1600.00
3017,奇鋐(3017.TW),0.72,"11,000",2910.00
5269,祥碩(5269.TW),0.71,"22,000",1440.00
3711,日月光投控(3711.TW),0.49,"35,000",621.00
8996,高力(8996.TW),0.39,"15,000",1170.00
6182,合晶(6182.TW),0.36,"157,000",103.00
4583,台灣精銳(4583.TW),0.33,"30,000",497.00
2467,志聖(2467.TW),0.31,"25,000",552.00
2368,金像電(2368.TW),0.31,"14,000",1000.00
3131,弘塑(3131.TW),0.29,"5,000",2555.00
6526,達發(6526.TW),0.17,"12,000",619.00
3665,貿聯-KY(3665.TW),0.14,"3,000",2155.00
1802,台玻(1802.TW),0.12,"90,000",57.60
3533,嘉澤(3533.TW),0.09,"2,000",2010.00
4749,新應材(4749.TW),0.09,"5,086",809.00
6213,聯茂(6213.TW),0.06,"6,000",464.00
2881,富邦金(2881.TW),0.06,"20,000",127.00
2882,國泰金(2882.TW),0.06,"25,000",99.70
2317,鴻海(2317.TW),0.05,"9,000",270.00
2382,廣達(2382.TW),0.04,"6,000",325.50
2449,京元電子(2449.TW),0.04,"6,300",259.00
